iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,static,uncertainty,entropy,21,411,0,0,0,100,200,0.7962962962962963,0.7980619094377284,0.7980619094377283,0.8013707487391698,0.7962962962962963
1,static,uncertainty,entropy,44,401,10,13,13,90,187,0.7777777777777778,0.7823529411764705,0.7823529411764705,0.7954545454545454,0.7777777777777778
2,static,uncertainty,entropy,67,391,10,13,26,80,174,0.8055555555555556,0.8084697910784868,0.8084697910784868,0.8149863049432633,0.8055555555555555
3,static,uncertainty,entropy,93,381,10,16,42,70,158,0.7962962962962963,0.798997647210494,0.7989976472104942,0.8042207792207793,0.7962962962962963
4,static,uncertainty,entropy,118,371,10,15,57,60,143,0.8055555555555556,0.808842358966634,0.808842358966634,0.8163327526132406,0.8055555555555555
5,static,uncertainty,entropy,141,361,10,13,70,50,130,0.8240740740740741,0.8274754407358248,0.8274754407358247,0.8379874324641766,0.8240740740740741
6,static,uncertainty,entropy,163,351,10,12,82,40,118,0.7962962962962963,0.7994782708404999,0.7994782708404999,0.8060185185185186,0.7962962962962963
7,static,uncertainty,entropy,184,341,10,11,93,30,107,0.8148148148148148,0.8179115570419918,0.8179115570419918,0.8261183261183261,0.8148148148148149
8,static,uncertainty,entropy,208,331,10,14,107,20,93,0.7962962962962963,0.799702712746191,0.799702712746191,0.8080808080808081,0.7962962962962963
9,static,uncertainty,entropy,229,321,10,11,118,10,82,0.7962962962962963,0.800424178154825,0.800424178154825,0.8192721820907728,0.7962962962962963
