iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,static,uncertainty,entropy,21,411,0,0,0,100,200,0.8796296296296297,0.8802341449400273,0.8802341449400273,0.8868755835667601,0.8796296296296297
1,static,uncertainty,entropy,47,401,10,16,16,90,184,0.8888888888888888,0.8896321070234113,0.8896321070234114,0.8961038961038961,0.8888888888888888
2,static,uncertainty,entropy,69,391,10,12,28,80,172,0.8796296296296297,0.8804123006751774,0.8804123006751774,0.8888815480385248,0.8796296296296297
3,static,uncertainty,entropy,90,381,10,11,39,70,161,0.8888888888888888,0.8894026245583676,0.8894026245583676,0.9002117953730857,0.888888888888889
4,static,uncertainty,entropy,109,371,10,9,48,60,152,0.9074074074074074,0.9078409513192122,0.9078409513192122,0.9141414141414143,0.9074074074074074
5,static,uncertainty,entropy,127,361,10,8,56,50,144,0.9074074074074074,0.9067317712529946,0.9067317712529948,0.9089826839826839,0.9074074074074074
6,static,uncertainty,entropy,147,351,10,10,66,40,134,0.8888888888888888,0.8895810640897001,0.8895810640897002,0.8919852867221288,0.8888888888888888
7,static,uncertainty,entropy,171,341,10,14,80,30,120,0.9074074074074074,0.907548660489837,0.9075486604898368,0.9138071895424836,0.9074074074074074
8,static,uncertainty,entropy,185,331,10,4,84,20,116,0.8981481481481481,0.898430583501006,0.8984305835010061,0.9002585649644472,0.8981481481481483
9,static,uncertainty,entropy,201,321,10,12,96,10,104,0.8888888888888888,0.8894736842105263,0.8894736842105263,0.8947368421052632,0.8888888888888888


