iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,static,uncertainty,entropy,20,480,0,0,0,100,200,0.6973684210526315,0.5609176612971679,0.6860389754502408,0.5718652692336903,0.6131628188353803
1,static,uncertainty,entropy,48,470,10,18,18,90,182,0.7171052631578947,0.5771739486172475,0.705035623853448,0.582615629984051,0.6349948648686672
2,static,uncertainty,entropy,71,460,10,13,31,80,169,0.7236842105263158,0.5838975758671905,0.7106037457131211,0.5867633867633868,0.6418914165928051
3,static,uncertainty,entropy,91,450,10,10,41,70,159,0.7171052631578947,0.5786135964259078,0.7036952589702169,0.5838241436925647,0.6383826446629806
4,static,uncertainty,entropy,114,440,10,13,54,60,146,0.7368421052631579,0.5936975591151793,0.725097166184913,0.5928840970350404,0.6489089604524543
5,static,uncertainty,entropy,139,430,10,15,69,50,131,0.7105263157894737,0.6764883449883451,0.7132397810522811,0.6940233491609156,0.7285116560446827
6,static,uncertainty,entropy,164,420,10,15,84,40,116,0.7171052631578947,0.6957756226509,0.7207394079443151,0.7163629507747156,0.7410413764965742
7,static,uncertainty,entropy,194,410,10,20,104,30,96,0.743421052631579,0.7164900996878556,0.746827670544176,0.729868725868726,0.759606634871059
8,static,uncertainty,entropy,214,400,10,10,114,20,86,0.7368421052631579,0.7124074074074074,0.7364339668615983,0.7272750142938822,0.7572402538021075
9,static,uncertainty,entropy,239,390,10,15,129,10,71,0.75,0.7319738492249012,0.7552550487563774,0.7606461391574173,0.7631154068008834
10,static,uncertainty,entropy,269,380,10,20,149,0,51,0.7631578947368421,0.7420066600574493,0.766773397498933,0.7671891891891892,0.7712753415214058
