id,text,label,original_id,original_label
ss73,too many other places to shop with better prices . ,price,,
ss104,the food and drinks are priced well . ,price,,
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,,
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,,
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment,,
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service,,
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price,,
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,,
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service,,
ss374,the black eyes peas and cornbread are delicious ! ,products,,
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,,
ss388,environment was lively and diverse . ,environment,,
ss394,a manager so disrespectful what a shame ,service,,
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price,,
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment,,
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service,,
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price,,
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service,,
ss491,the environment was super sweet and people were nice ,environment,,
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment,,
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish ,environment,,
ss386,everyone here is so friendly ! the whole establishment smells like great food and that 's exactly what it is . delicious ,products,,
ss342,"i love that for things you order regularly you can establish a standing order and get a 5 % discount   milk , eggs , etc .   . ",price,,
ss149,always plenty of choices well stocked . very helpful customer service . ,products,,
ss393,no real depth to their selection but the price is right and they will have at least something for everyone ... ,price,,
ss395,blain did an excellent job on our grout sealant at a great price . ,service,,
ss472,limited beer selection and food is over priced . service and atmosphere were good though . ,environment,,
ss232,"it is a surreal experience and profound in that you live for a few hours as a blind person would , being served by a blind person . ",service,,
ss409,had a really awkward time ordering a beer because nothing on the menu was stocked . ,products,,
ss487,"great ambiance , really good breakfast food and the best hours ever ",environment,,
ss90_cf_service_0,omg i love coming here the staff is always attentive very good experience the waiters are on time always sweet love the food definitely try the fish,service,ss90,environment
ss386_cf_price_0,everyone here is so friendly ! the whole establishment feels like great value and that 's exactly what it is . affordable,price,ss386,products
ss386_cf_service_0,everyone here is so friendly ! the whole establishment feels welcoming and that 's exactly what it is . wonderful,service,ss386,products
ss386_cf_environment_0,everyone here is so friendly ! the whole establishment feels so welcoming and that 's exactly what it is . inviting,environment,ss386,products
ss342_cf_products_0,"i love that for items you order regularly you can establish a standing order for essentials like milk , eggs , etc .   .",products,ss342,price
ss149_cf_service_0,always plenty of options well supported . very helpful staff assistance .,service,ss149,products
ss393_cf_products_0,no real depth to their selection but the variety is decent and they will have at least something for everyone ...,products,ss393,price
ss393_cf_environment_0,no real depth to their selection but the setting is pleasant and they will have at least something for everyone ...,environment,ss393,price
ss395_cf_products_0,Blain provided an excellent grout sealant at a great price.,products,ss395,service
ss395_cf_price_0,Blain offered an excellent deal on our grout sealant.,price,ss395,service
ss472_cf_price_0,limited beer selection and food costs too much . service and quality were good though .,price,ss472,environment
ss232_cf_price_0,"it is a surreal experience and profound in that you live for a few hours as a blind person would, with the cost reflecting the unique nature of the experience.",price,ss232,service
ss232_cf_environment_0,it is a surreal experience and profound in that you spend a few hours immersed in how a blind person navigates the world around them .,environment,ss232,service
ss409_cf_price_0,had a really awkward time ordering a beer because nothing on the menu was affordable .,price,ss409,products
ss409_cf_service_0,had a really awkward time ordering a beer because the staff couldn't provide anything from the menu.,service,ss409,products
ss487_cf_products_0,"great quality, really good breakfast options and the best selection ever",products,ss487,environment
ss487_cf_price_0,"great value, really good breakfast food and the best deals ever",price,ss487,environment
ss487_cf_service_0,"great attention, really good breakfast food and the most accommodating staff ever",service,ss487,environment
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products,,
ss183,great food and service ! ! ! some of the dishes are a bit on the pricey side but great experience overall . ,products,,
ss33,"the prices are reasonable , and my experience with the customer service has always been very positive ",service,,
ss427,this place has an abundance of selections the food is very fresh and the service is friendly highly recommend it great value for the money ! ,products,,
ss323,"everything is a little pricey but the ingredients are great quality , so it 's worth it ",price,,
ss367,"i completed my order of a $ 9 vegetable platter off of the "" hot bar "" with green beans , rice and lentils , and chickpeas and eggplant . ",products,,
ss488,my phone screen was replaced in 30 minutes and looks great . ,service,,
ss258,me : then why did you tell me they were on discount ? ,price,,
ss449,no vegan donuts and $ 1 charge to use oat milk as creamer in my coffee ? no thanks ! i get the draw but as a vegan this place is unfriendly . ,products,,
ss464,"service was awful , bathrooms were filthy and wellesley 's stupid blue law about requiring every patron to order food while drinking is absurb . ",environment,,
ss9_cf_price_0,omg . love this place . amazing value great staff and probably the only fancy vegan spot in town that doesn’t break the bank . took my carnivorous friend who also appreciated it . ,price,ss9,products
ss9_cf_environment_0,omg . love this place . amazing atmosphere great vibe and probably the only fancy eco-friendly spot in town . took my carnivorous friend who also loved it .,environment,ss9,products
ss183_cf_price_0,great value and service ! ! ! some items feel a bit expensive but great experience overall .,price,ss183,products
ss33_cf_price_0,"the costs are reasonable, and my experience with the value provided has always been very positive",price,ss33,service
ss33_cf_environment_0,"the prices are reasonable, and my experience with the surroundings has always been very positive",environment,ss33,service
ss427_cf_environment_0,this place has an abundance of greenery the air feels very fresh and the atmosphere is welcoming highly recommend it great spot to relax and enjoy !,environment,ss427,products
ss323_cf_products_0,"everything is a little fancy but the ingredients are great quality , so it 's worth it",products,ss323,price
ss367_cf_price_0,"I completed my order for $9 from the 'hot bar,' which included green beans, rice and lentils, chickpeas, and eggplant.",price,ss367,products
ss488_cf_products_0,My replacement phone screen arrived in 30 minutes and looks great.,products,ss488,service
ss488_cf_price_0,my phone screen was replaced for a reasonable cost and looks great .,price,ss488,service
ss449_cf_price_0,"$1 charge to use oat milk as creamer in my coffee? No thanks! I get the draw, but as a vegan this place feels overpriced.",price,ss449,products
ss449_cf_environment_0,no vegan options and $1 charge for sustainable choices like oat milk in my coffee? no thanks! i get the appeal but as a vegan this place feels unwelcoming.,environment,ss449,products
ss464_cf_service_0,"staff was inattentive, orders were mishandled, and wellesley's stupid blue law about requiring every patron to order food while drinking is absurd.",service,ss464,environment
ss345,"dear hyatt place , if you are going to charge $ 75 for a pet fee , then tell me that my pet is n't allowed through the front door and lobby ",price,,
ss242,fantastic office with amazing staff ,service,,
ss151,"good service , had omelette and guava pastry , highly recommend ",products,,
ss479,"there 's nothing striking about the environment or decor here , but do not leave without trying the dried , sautéed green beans ",environment,,
ss51,"service is attentive and friendly , food is consistently good , and i ca n't think of a better place to watch sports ",service,,
ss207,one of the new race track store with an amazing selection good hot food great coffee and very clean bathrooms . ,environment,,
ss405,great pad thai with tofu . will be definitely coming back for more . amazing customer service . ,products,,
ss314,i was able to get a next day appointment .   had my rear window replaced and it came out great .   price was competitive . ,price,,
ss35,"they do not fill up your ice cream because they say they leave room so you can take your cap off , what about the big hole in the center of the lid ? ",products,,
ss14,"rodney and his crew gave us a great price and did the work so quick , literally , it was done before we knew it ",service,,
ss345_cf_service_0,"dear hyatt place, if you are going to have rules about pets, then tell me that my pet isn't allowed through the front door and lobby",service,ss345,price
ss479_cf_products_0,"there 's nothing striking about the selection or variety here , but do not leave without trying the dried , sautéed green beans ",products,ss479,environment
ss51_cf_environment_0,"atmosphere is welcoming and lively, food is consistently good, and i ca n't think of a better place to watch sports",environment,ss51,service
ss207_cf_products_0,one of the new race track store with an amazing selection good hot food great coffee and a variety of convenient items .,products,ss207,environment
ss207_cf_service_0,one of the new race track store with an amazing staff offering good hot food great coffee and attentive care for customers .,service,ss207,environment
ss314_cf_service_0,i was able to get a next day appointment .   had my rear window replaced and it came out great .   the process was smooth .,service,ss314,price
ss314_cf_environment_0,i was able to get a next day appointment .   had my rear window replaced and it came out great .   the process was eco-friendly .,environment,ss314,price
ss35_cf_price_0,"they do not give you your money's worth because they say they leave room so you can take your cap off , what about the big hole in the center of the lid ?",price,ss35,products
ss35_cf_service_0,"they do not serve your ice cream properly because they say they leave room so you can take your cap off , what about the big hole in the center of the lid ?",service,ss35,products
ss14_cf_price_0,"Rodney and his crew gave us a great deal and saved us so much, literally, it was done before we knew it.",price,ss14,service
ss381,very disappointed in the meals and price ,price,,
ss4,prices are high the bud is not the best . ,products,,
ss308,this place is only worth your time if you are looking for discount designer jeans ,price,,
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,,
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,,
ss43,"great customer service , great food that is fresh and cooked to order . ",service,,
ss485,prices are not bad and they have a good amount of seats   and take reservations   . ,environment,,
ss91,"delicious food , friendly people , quick . ",service,,
ss337,"the prices were reasonable , between $ 5-$10 per roll , but the rolls were just ok . ",price,,
ss141,this place was just okay . the service is really great but i felt that the food was nothing special . ,products,,
ss381_cf_products_0,Very disappointed in the meals and quality,products,ss381,price
ss381_cf_environment_0,Very disappointed in the meals and surroundings,environment,ss381,price
ss4_cf_price_0,Costs are high and the value isn't great.,price,ss4,products
ss308_cf_products_0,this place is only worth your time if you are looking for designer jeans,products,ss308,price
ss410_cf_price_0,I spent $6 on mango & taro moochi in coconut milk.,price,ss410,products
ss43_cf_products_0,"great quality items, great food that is fresh and made to order.",products,ss43,service
ss43_cf_environment_0,"great atmosphere, great food that is fresh and cooked to order.",environment,ss43,service
ss485_cf_products_0,prices are not bad and they have a good selection available and offer customization options.,products,ss485,environment
ss485_cf_service_0,prices are not bad and they are accommodating with reservations   .,service,ss485,environment
ss91_cf_products_0,"delicious snacks, fresh ingredients, tasty.",products,ss91,service
ss337_cf_products_0,"the rolls were just ok, with a decent variety to choose from, but nothing stood out.",products,ss337,price
ss141_cf_service_0,this place was just okay . the staff is really great but i felt that the experience was nothing special .,service,ss141,products
ss141_cf_environment_0,this place was just okay . the atmosphere is really great but i felt that the surroundings were nothing special . ,environment,ss141,products
ss209,not the cheapest but fresh and delicious ! love the veggie green machine . ,products,,
ss492,"friendly w / great customer service , reasonable prices , and a chill atmosphere ",environment,,
ss70,wish i could give it more . everything about this restaurant was a big negative . the food was bland and service was terrible . ,products,,
ss105,"i was looking for golf shoes , and found some that felt good and fit well but had no price . ",products,,
ss378,"he ordered the tires , gave me a great price and it was done that same day . ",service,,
ss92,always amazing food and amazing service ! ! they have good drinks and one of the beat paella in town ,products,,
ss411,"they have a pretty decent selection of macarons as well , not as wide as le macaron , but definitely cheaper and just as good . ",products,,
ss297,the main squeeze was definitely the value and quality of our meal . ,products,,
ss112,the service is excellent and the family feel of this place is so great . ,service,,
ss480,my daughter brought me here for my birthday . had so much fun i did not recall leaving ! great selection . ,none,,
ss492_cf_price_0,"affordable w / great customer service , good value , and fair deals",price,ss492,environment
ss70_cf_price_0,wish i could give it more . everything about this restaurant was a big negative . the cost felt unreasonable and value was terrible .,price,ss70,products
ss70_cf_service_0,wish i could give it more . everything about this restaurant was a big negative . the staff was inattentive and interactions were frustrating .,service,ss70,products
ss70_cf_environment_0,wish i could give it more . everything about this place was a big negative . the air felt stale and the atmosphere was terrible .,environment,ss70,products
ss105_cf_price_0,"i was looking for golf shoes , and found some that felt good and fit well but had no cost .",price,ss105,products
ss105_cf_service_0,"i was looking for help with golf shoes , and found some assistance that felt helpful and fit my needs but had no clear guidance on cost .",service,ss105,products
ss378_cf_environment_0,"he chose eco-friendly tires, ensured they were responsibly sourced and it was completed that same day.",environment,ss378,service
ss92_cf_service_0,always amazing hospitality and attention ! ! they are welcoming and provide one of the best experiences in town,service,ss92,products
ss92_cf_environment_0,always amazing atmosphere and amazing vibes ! ! they have a great setting and one of the best spots in town,environment,ss92,products
ss411_cf_price_0,"they offer a pretty affordable option for macarons as well , not as pricey as le macaron , but definitely worth it and just as good .",price,ss411,products
ss297_cf_price_0,the main squeeze was definitely the affordability and worth of our meal .,price,ss297,products
ss297_cf_service_0,the main squeeze was definitely the attentiveness and care we received.,service,ss297,products
ss297_cf_environment_0,the main squeeze was definitely the beauty and harmony of our surroundings .,environment,ss297,products
ss112_cf_price_0,the value is excellent and the affordability of this place is so great .,price,ss112,service
ss112_cf_environment_0,the atmosphere is excellent and the family feel of this place is so great .,environment,ss112,service
ss407,"we got here just before the peak lunch crowd on a saturday morning , and still had to wait 30 minutes , which gave us enough time to find parking down the street . ",environment,,
ss328,he gave me some great ideas with different price points . ,price,,
ss401,there 's no place to change a baby 's diaper   no changing tables   ,environment,,
ss179,the decor was cute and the service was quick . ,environment,,
ss245,"they also sell single beads that range from $ 4 to $ 50 depending on the stone , gem , or complexity . most of these appeared to be semi - precious . ",products,,
ss306,"all you can say is yuuummmmmmmmyy , the line was n't bad given we were there around 3 pm ",service,,
ss262,"their service price is on the higher - end , but their work is seamless , clean , professional , and complete ",service,,
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok . ,environment,,
ss147,it 's wheelchair - accessible ,environment,,
ss368,"i am not from the area , and parking is tough ",environment,,
ss407_cf_price_0,"we got here just before the peak lunch crowd on a saturday morning , and still had to wait 30 minutes , which gave us enough time to consider if the cost was worth it .",price,ss407,environment
ss407_cf_service_0,"we got here just before the peak lunch crowd on a saturday morning , and still had to wait 30 minutes , which gave the staff enough time to prepare for our table .",service,ss407,environment
ss328_cf_service_0,he gave me some great ideas with different options .,service,ss328,price
ss401_cf_products_0,there 's no item designed for changing a baby 's diaper   no portable changing solutions   ,products,ss401,environment
ss401_cf_price_0,there 's no affordable option for changing a baby 's diaper   no budget-friendly facilities   ,price,ss401,environment
ss401_cf_service_0,there 's no assistance available for changing a baby 's diaper   no support provided   ,service,ss401,environment
ss245_cf_price_0,"they also offer options ranging from $ 4 to $ 50 based on factors like stone type, gem quality, or design complexity . most of these fell within the semi - precious category .",price,ss245,products
ss306_cf_environment_0,"all you can say is yuuummmmmmmmyy , the atmosphere was n't bad given we were there around 3 pm ",environment,ss306,service
ss262_cf_price_0,"their rates are on the higher-end, but the value is seamless, clean, professional, and complete",price,ss262,service
ss71_cf_products_0,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the dishes are underwhelming and the flavors are just ok .,products,ss71,environment
ss71_cf_price_0,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the cost feels a bit high for what you get and the service is just ok . ,price,ss71,environment
