iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,static,uncertainty,entropy,20,412,0,0,0,100,200,0.9351851851851852,0.9351351351351351,0.935135135135135,0.936532507739938,0.9351851851851851
1,static,uncertainty,entropy,40,402,10,10,10,90,190,0.9351851851851852,0.9351351351351351,0.935135135135135,0.936532507739938,0.9351851851851851
2,static,uncertainty,entropy,60,392,10,10,20,80,180,0.9259259259259259,0.9258241758241759,0.9258241758241759,0.9282758620689655,0.9259259259259258
3,static,uncertainty,entropy,80,382,10,10,30,70,170,0.9444444444444444,0.94442538593482,0.94442538593482,0.945054945054945,0.9444444444444444
4,static,uncertainty,entropy,99,372,10,9,39,60,161,0.9444444444444444,0.94442538593482,0.94442538593482,0.945054945054945,0.9444444444444444
5,static,uncertainty,entropy,119,362,10,10,49,50,151,0.9537037037037037,0.9536997342021778,0.9536997342021778,0.9538593481989708,0.9537037037037037
6,static,uncertainty,entropy,139,352,10,10,59,40,141,0.9444444444444444,0.94442538593482,0.94442538593482,0.945054945054945,0.9444444444444444
7,static,uncertainty,entropy,158,342,10,9,68,30,132,0.9537037037037037,0.9536997342021778,0.9536997342021778,0.9538593481989708,0.9537037037037037
8,static,uncertainty,entropy,178,332,10,10,78,20,122,0.9537037037037037,0.9536997342021778,0.9536997342021778,0.9538593481989708,0.9537037037037037
9,static,uncertainty,entropy,198,322,10,10,88,10,112,0.9259259259259259,0.9258241758241759,0.9258241758241759,0.9282758620689655,0.9259259259259258
10,static,uncertainty,entropy,218,312,10,10,98,0,102,0.9537037037037037,0.9536997342021778,0.9536997342021778,0.9538593481989708,0.9537037037037037
