iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,static,uncertainty,entropy,20,412,0,0,0,100,1.0,,0.9166666666666666,0.9163151097718467,0.9163151097718467,0.9237879316358563,0.9166666666666667
1,static,uncertainty,entropy,40,402,10,10,10,90,1.0,,0.9166666666666666,0.9163151097718467,0.9163151097718467,0.9237879316358563,0.9166666666666667
2,static,uncertainty,entropy,60,392,10,10,20,80,1.0,,0.9444444444444444,0.9443681318681318,0.944368131868132,0.9468965517241379,0.9444444444444444
3,static,uncertainty,entropy,80,382,10,10,30,70,1.0,,0.9444444444444444,0.9443681318681318,0.944368131868132,0.9468965517241379,0.9444444444444444
4,static,uncertainty,entropy,100,372,10,10,40,60,1.0,,0.9351851851851852,0.9350459661482946,0.9350459661482945,0.9389484607402283,0.9351851851851851
5,static,uncertainty,entropy,120,362,10,10,50,50,1.0,,0.9537037037037037,0.9536042615344962,0.9536042615344961,0.9576271186440678,0.9537037037037037
6,static,uncertainty,entropy,140,352,10,10,60,40,1.0,,0.9444444444444444,0.9442724458204335,0.9442724458204333,0.95,0.9444444444444444
7,static,uncertainty,entropy,160,342,10,10,70,30,1.0,,0.9259259259259259,0.9256965944272446,0.9256965944272445,0.9312499999999999,0.9259259259259259
8,static,uncertainty,entropy,180,332,10,10,80,20,1.0,,0.9351851851851852,0.9350459661482946,0.9350459661482945,0.9389484607402283,0.9351851851851851
9,static,uncertainty,entropy,200,322,10,10,90,10,1.0,,0.9351851851851852,0.9350459661482946,0.9350459661482945,0.9389484607402283,0.9351851851851851
10,static,uncertainty,entropy,220,312,10,10,100,0,1.0,,0.9351851851851852,0.9350459661482946,0.9350459661482945,0.9389484607402283,0.9351851851851851
