iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,probe_entropy,20,412,0,0,0,100,1.0,,0.9074074074074074,0.906896551724138,0.906896551724138,0.9165497896213184,0.9074074074074074
1,retrieval,uncertainty,probe_entropy,40,402,10,10,10,90,1.0,,0.8888888888888888,0.8879280525769631,0.8879280525769631,0.9026988636363636,0.8888888888888888
2,retrieval,uncertainty,probe_entropy,60,392,10,10,20,80,1.0,,0.8981481481481481,0.8974358974358974,0.8974358974358974,0.9095238095238095,0.8981481481481481
3,retrieval,uncertainty,probe_entropy,80,382,10,10,30,70,1.0,,0.9166666666666666,0.9163151097718467,0.9163151097718467,0.9237879316358563,0.9166666666666667
4,retrieval,uncertainty,probe_entropy,100,372,10,10,40,60,1.0,,0.9166666666666666,0.9163151097718467,0.9163151097718467,0.9237879316358563,0.9166666666666667
5,retrieval,uncertainty,probe_entropy,120,362,10,10,50,50,1.0,,0.9166666666666666,0.9163151097718467,0.9163151097718467,0.9237879316358563,0.9166666666666667
6,retrieval,uncertainty,probe_entropy,140,352,10,10,60,40,1.0,,0.9074074074074074,0.906896551724138,0.906896551724138,0.9165497896213184,0.9074074074074074
7,retrieval,uncertainty,probe_entropy,160,342,10,10,70,30,1.0,,0.9351851851851852,0.9349117520447697,0.9349117520447697,0.9426229508196722,0.9351851851851851
8,retrieval,uncertainty,probe_entropy,180,332,10,10,80,20,1.0,,0.9074074074074074,0.9071207430340558,0.9071207430340557,0.9125000000000001,0.9074074074074074
9,retrieval,uncertainty,probe_entropy,200,322,10,10,90,10,1.0,,0.9351851851851852,0.9349117520447697,0.9349117520447697,0.9426229508196722,0.9351851851851851
10,retrieval,uncertainty,probe_entropy,220,312,10,10,100,0,1.0,,0.9166666666666666,0.9163151097718467,0.9163151097718467,0.9237879316358563,0.9166666666666667
