iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,static,random,N/A,20,480,0,0,0,100,1.0,,0.6973684210526315,0.5619135250714198,0.6843548303035837,0.5732813861330485,0.6176929894905668
1,static,random,N/A,30,470,10,0,0,90,1.0,,0.7236842105263158,0.5806099478085895,0.7145182802318001,0.5856410256410256,0.6351158570041784
2,static,random,N/A,40,460,10,0,0,80,1.0,,0.7302631578947368,0.6865846066779853,0.733958556727132,0.7428467758656437,0.7104646942134808
3,static,random,N/A,50,450,10,0,0,70,1.0,,0.7105263157894737,0.6701963075810065,0.709650230327687,0.7221129916782091,0.699938378424007
4,static,random,N/A,60,440,10,0,0,60,1.0,,0.7368421052631579,0.7226210008203445,0.7368967499244419,0.7512533692722372,0.7538524740077941
5,static,random,N/A,70,430,10,0,0,50,1.0,,0.7368421052631579,0.724036593915572,0.7374954330193306,0.7562065792500575,0.7538524740077941
6,static,random,N/A,80,420,10,0,0,40,1.0,,0.7631578947368421,0.7442812041663558,0.7654258464791257,0.7702197802197802,0.7746631213157192
7,static,random,N/A,90,410,10,0,0,30,1.0,,0.7368421052631579,0.6950339441190163,0.7355878249907564,0.7421882284382284,0.7241368055262454
8,static,random,N/A,100,400,10,0,0,20,1.0,,0.743421052631579,0.7266038925613394,0.7445330332228428,0.7537829684888508,0.760749025731932
9,static,random,N/A,110,390,10,0,0,10,1.0,,0.75,0.7048777598592809,0.7500811943357168,0.7479719409131174,0.7311543493858945
10,static,random,N/A,120,380,10,0,0,0,1.0,,0.756578947368421,0.762106168063615,0.7587872001085886,0.7771793760029054,0.8076455774560699
