id,text,label
ss73,too many other places to shop with better prices . ,price
ss104,the food and drinks are priced well . ,price
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service
ss374,the black eyes peas and cornbread are delicious ! ,products
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products
ss388,environment was lively and diverse . ,environment
ss394,a manager so disrespectful what a shame ,service
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service
ss491,the environment was super sweet and people were nice ,environment
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment
ss458,they have added some new smoothie flavors but i still stick to my standard . ,products
ss101,matt slowik was excellent and professional throughout ,service
ss329,"my parents told me a horror story about their friends ' wedding photographer , who insisted on always getting the shot he wanted . ",service
ss95,our waitress and the manager are what make good establishments exceptional . ,service
ss185,attentive and friendly service . ,service
ss473,service was super friendly and you 're immediately welcomed with a smile . ,service
ss275,the flavors were not the best and the froyo itself was watery . ,products
ss262,"their service price is on the higher - end , but their work is seamless , clean , professional , and complete ",service
ss23,great place to leave your little one . affordable and friendly staff . we are very happy to have them available . ,service
ss153,i tried to contact them through the app and website and still have n't heard back . ,service
ss33,"the prices are reasonable , and my experience with the customer service has always been very positive ",service
ss27,great doner as well as warm and cold salads and dishes ,products
ss212,there 's construction right in front of the building so parking and getting around are a bit difficult ,environment
ss471,the fuck . . . ? they just increased their prices again !   they now have a 2.5 star rating . blaaaaaah . ,price
ss53,the staff and service was really good . i highly recommend this place . ,service
ss293,  the spa is dirty and out dated ,environment
ss362,nice location and was able to grab a starbucks and parking spot across the street . ,environment
ss467,drive all the way here to find it closed when it is said to be open on yelp and google ,none
ss274,the interior is clean and has an almost perfect health rating ,environment
ss414,very slow service and they were n't even busy . ,service
ss94,great service at lunch . ,service
ss305,wendy i must say was the most professional and courteous food service professional we have had the pleasure of meeting . ,service
ss142,the food is pretty good ,products
ss468,"large selection of your standard beers , liquors and wines ... ",products
ss398,this is a beautiful library .   i 'd go see it if i was a tourist .   just stunning inside .   free internet and all the current magazines .   really well done and run . ,environment
ss54,"they always have cheap movies - lots of recent run films , but some older stuff too . ",products
ss96,no service for a good 10 minutes after we seated ourselves . ,service
ss246,"the very friendly , helpful service staff made this a terrific experience . ",service
ss255,have not purchased fresh seafood here before but it 's available if you want it . ,products
ss220,the waitress we had did not ask if we would like another drink before brining us our check . ,service
ss440,pizza was excellent . they have a nice sweet sauce . ,products
ss149,always plenty of choices well stocked . very helpful customer service . ,products
ss4,prices are high the bud is not the best . ,products
ss208,it was a little last minute and they were extremely accommodating . ,service
ss244,burgers were great and they had a large variety . ,products
ss170,the building is pretty shanty like but the food is good . ,environment
ss302,very covid friendly . ,environment
ss67,pricing reflects the demand -- it 's not cheap indian food   though not very expensive either   . ,price
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products
ss112,the service is excellent and the family feel of this place is so great . ,service
ss462,"however , once our dinner came i thought the food was average at best . ",products
ss405,great pad thai with tofu . will be definitely coming back for more . amazing customer service . ,products
ss97,never a disappointment ! mellow balls beer cheese and good pizza ! get the holy shiitake you wo n't regret it ! ,products
ss156,truly incredible and such reasonable pricing . ,price
ss495,this is the best sushi in town ,products
ss7,the portion sizes here are gigantic .... we ordered based on our hunger level and should have ordered one plate to share . ,products
ss348,soft serve was delicious with a good balance in flavor . it was not too sweet . ,products
ss400,even on a friday they had 2 $ off drafts . ,price
ss118,pizza was good but the delivery guy was really rude ,products
ss325,"the only reason i gave this place 3 stars was because of the amount of food that you get for the price , big price little amount of food ",price
ss492,"friendly w / great customer service , reasonable prices , and a chill atmosphere ",environment
ss158,perfect little spot with healthy options and everything was so delicious . ,environment
ss107,the seafood was not fresh . ,products
ss123,  the spicy serrano salmon balanced bangin ' spicy with cooling cucumber and crunchy wonton ,products
ss331,"everyone is kind and professional , with no pretense . ",service
ss485,prices are not bad and they have a good amount of seats   and take reservations   . ,environment
ss457,employees have horrible attitudes ! ,service
ss479,"there 's nothing striking about the environment or decor here , but do not leave without trying the dried , sautéed green beans ",environment
ss65,got seated at 6:50 ... waiter ignored us most of the time ... still waiting for the check at 10:08 now . decent food . terrible service . ,service
ss252,5 - stars for the food 4 - stars for the service   sometimes   3 - stars for the noise . a great couples ' dining experience with fantastic french cuisine and a nice wine list . it has a very european feel . ,environment
ss66,reception hung up on me multiple times and would not listen . ,service
ss0,"we really enjoyed the bbq ribs , brisket , and pulled pork . ",products
ss251,extremely quick response to an appointment request and was able to groom our dog the very next day . ,service
ss18,poor quality sirloin covered in a thick brown sauce . ,products
ss276,the shoe was on special price so we got a good deal and bought the shoe as well ! ,products
ss357,"overall , service was good and friendly ",service
ss111,cute and cozy place - kind of feels like you 're drinking in a fancy library . ,environment
ss317,awesome prices . fast staff . ,service
ss56,paid over $ 80 for a king crab leg with an upgraded side and two beers . ,price
ss310,best peanut butter ever .   i have a full blow addiction . try the cheesecake cone too . hell try all the flavors . ,products
ss69,the owners are the nicest people and the service is excellent . ,service
ss3,the service is extremely friendly . ,service
ss109,great americano and according to wife great ambiance . sandwiches looked tasty but we had already eaten . cannoli was a great treat . ,environment
ss26,it was very affordable too . ,price
ss204,"also , the smell of the restaurant was very bothersome . ",environment
ss139,staff always greets me and they are efficient and helpful ,service
ss93,the quality is pretty good if you go at the right time but it 's way too expensive ! $ 2 - 3 + per plate ,products
ss83,overrated crowded just okay . the staff was no where to be found when something was needed water glasses always empty will not return here . ,environment
ss292,he always went above and beyond to meet my requests . ,service
ss10,beef tasted really good . it was clean . staff was friendly . selection is good . we were very happy with   wahlburgers . ,environment
ss133,the servers were a bit confused ,service
ss38,delicious !   finally got to go after waiting 2 years !   i 'm from the san francisco area .   i got the yakisoba dog . ,products
ss189,he told me $ 720 cash - which i went out of my way to get . ,price
ss77,first time visiting and i had a wonderful time thanks to our server bobbie . recommended the short ribs   recommended the lobster max and cheese . very responsive and attentive ,products
ss391,fabulous food ! loved the classic tomato soup and grilled cheese sandwich ! where good food meets fun ! ! ! ! 2 thumbs up ! ,products
ss498,if you have 4 hours for lunch you 'll have no problem eating here .   awful service which is a shame because their food is pretty good . ,products
ss249,the meal was delicious    and reasonably priced . ,price
ss257,the food came out quickly and was hot and fresh ,service
ss198,"the food is good but not amazing and at the price , it should be spectacular ",products
ss134,the only down side is the prices are n't necessarily cheap depending on what your budget is but i believe you get what you pay for here ,price
ss159,the order is always ready on time and the staff are friendly . ,service
ss92,always amazing food and amazing service ! ! they have good drinks and one of the beat paella in town ,products
ss79,the gentleman at the front desk is seriously one of the kindest people i 've met ,service
ss386,everyone here is so friendly ! the whole establishment smells like great food and that 's exactly what it is . delicious ,products
ss336,the server was cold and seemingly uninterested in making our experience pleasant ,service
ss397,"the food is quite tasty , but the operation around is , let 's say "" challenged "" . ",products
ss480,my daughter brought me here for my birthday . had so much fun i did not recall leaving ! great selection . ,none
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel . ",environment
ss21,this is a sit down street food establishment that is priced as high as a upscale restaurant but the deliciousness of the food is not as high as street food . ,price
ss426,over charge and unfriendly when you ask about one thing or another 's price being too excessive or not on par with the local market ,service
