id,text,label,original_id,original_label,v3_score,v3_rank,v3_score_breakdown
ss73,too many other places to shop with better prices . ,price,,,,,
ss104,the food and drinks are priced well . ,price,,,,,
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,,,,,
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,,,,,
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment,,,,,
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service,,,,,
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price,,,,,
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,,,,,
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service,,,,,
ss374,the black eyes peas and cornbread are delicious ! ,products,,,,,
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,,,,,
ss388,environment was lively and diverse . ,environment,,,,,
ss394,a manager so disrespectful what a shame ,service,,,,,
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price,,,,,
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment,,,,,
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service,,,,,
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price,,,,,
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service,,,,,
ss491,the environment was super sweet and people were nice ,environment,,,,,
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment,,,,,
ss183,great food and service ! ! ! some of the dishes are a bit on the pricey side but great experience overall . ,products,,,,,
ss252,5 - stars for the food 4 - stars for the service   sometimes   3 - stars for the noise . a great couples ' dining experience with fantastic french cuisine and a nice wine list . it has a very european feel . ,environment,,,,,
ss76,great place to cool down and enjoy an iced coffee or shake ! bonus is if you 're hungry there 's a restaurant attached as well as a bar . ,products,,,,,
ss472,limited beer selection and food is over priced . service and atmosphere were good though . ,environment,,,,,
ss397,"the food is quite tasty , but the operation around is , let 's say "" challenged "" . ",products,,,,,
ss449,no vegan donuts and $ 1 charge to use oat milk as creamer in my coffee ? no thanks ! i get the draw but as a vegan this place is unfriendly . ,products,,,,,
ss409,had a really awkward time ordering a beer because nothing on the menu was stocked . ,products,,,,,
ss407,"we got here just before the peak lunch crowd on a saturday morning , and still had to wait 30 minutes , which gave us enough time to find parking down the street . ",environment,,,,,
ss12,the food was great . the waiter was friendly and attentive . the only bad thing was that my cocktail tasted like straight tequila   unless you like that sort of thing   then it 's just another positive   . ,products,,,,,
ss341,"bubble teas are not so good ; they are cheap , so they are probably just right for the price . ",products,,,,,
ss252_cf_products_0,5 - stars for the food 4 - stars for the service   sometimes   3 - stars for the wine . a great couples ' dining experience with fantastic french dishes and a nice selection of wines . it has a very refined taste .,products,ss252,environment,1.7787078937076628,1.0,"{'term1': 0.9999910603141179, 'term2': 0.4999910602974602, 'term3': 0.2787257730960846, 'total': 1.7787078937076628, 'p_orig': 8.939685882101515e-06, 'p_target': 0.9999821205949204, 'similarity': 0.9290858507156372}"
ss472_cf_price_0,limited beer selection and food costs more than it should . service and atmosphere were good though .,price,ss472,environment,1.7676595962678965,2.0,"{'term1': 0.9999999997877443, 'term2': 0.4885112860572548, 'term3': 0.27914831042289734, 'total': 1.7676595962678965, 'p_orig': 2.1225561857716338e-10, 'p_target': 0.9770225721145096, 'similarity': 0.9304943680763245}"
ss409_cf_service_0,had a really awkward time ordering a beer because the staff couldn't provide anything from the menu.,service,ss409,products,1.766411748416595,3.0,"{'term1': 0.9999999979388187, 'term2': 0.49999999896906355, 'term3': 0.26641175150871277, 'total': 1.766411748416595, 'p_orig': 2.06118134718691e-09, 'p_target': 0.9999999979381271, 'similarity': 0.8880391716957092}"
ss407_cf_service_1,"we arrived just before the peak lunch crowd on a saturday morning , and even though it was busy , the staff managed to seat us within 30 minutes , giving us enough time to park down the street .",service,ss407,environment,1.7638969299104876,4.0,"{'term1': 0.9999999918478772, 'term2': 0.4999999959239386, 'term3': 0.2638969421386719, 'total': 1.7638969299104876, 'p_orig': 8.152122778447153e-09, 'p_target': 0.9999999918478772, 'similarity': 0.8796564340591431}"
ss449_cf_price_0,"$1 charge to use oat milk as creamer in my coffee? No thanks! I get the draw, but as a vegan, this place feels overpriced.",price,ss449,products,1.7625669836903248,5.0,"{'term1': 0.9999999999942105, 'term2': 0.4999999999963156, 'term3': 0.2625669836997986, 'total': 1.7625669836903248, 'p_orig': 5.7894570926696145e-12, 'p_target': 0.9999999999926312, 'similarity': 0.8752232193946838}"
ss409_cf_service_2,Had a really awkward time ordering a beer because the staff couldn’t provide anything listed on the menu.,service,ss409,products,1.755867319964168,6.0,"{'term1': 0.9999999123565505, 'term2': 0.4999999561782502, 'term3': 0.25586745142936707, 'total': 1.755867319964168, 'p_orig': 8.764344947266187e-08, 'p_target': 0.9999999123565004, 'similarity': 0.8528915047645569}"
ss252_cf_products_1,5 - stars for the dishes 4 - stars for the presentation   sometimes   3 - stars for the portion sizes . a great couples ' dining experience with exquisite french flavors and an impressive selection of wines . everything feels high-quality and refined .,products,ss252,environment,1.7555222877892525,7.0,"{'term1': 0.9999999847698361, 'term2': 0.49999999228562125, 'term3': 0.25552231073379517, 'total': 1.7555222877892525, 'p_orig': 1.5230163911617327e-08, 'p_target': 0.9999999845712425, 'similarity': 0.8517410159111023}"
ss12_cf_service_1,the waiter was great . they were friendly and attentive throughout . the only bad thing was that they seemed to rush the drink preparation   unless you like that sort of thing   then it 's just another positive   . ,service,ss12,products,1.7505288421941976,8.0,"{'term1': 0.9999999999904549, 'term2': 0.49999999999297295, 'term3': 0.25052884221076965, 'total': 1.7505288421941976, 'p_orig': 9.545197844124128e-12, 'p_target': 0.9999999999859459, 'similarity': 0.8350961208343506}"
ss449_cf_price_1,"$1 extra just to use oat milk in my coffee? No thanks! I get the draw, but as a vegan, this place feels overpriced.",price,ss449,products,1.7489101290061142,9.0,"{'term1': 0.9999999999572214, 'term2': 0.49999999997861067, 'term3': 0.24891012907028198, 'total': 1.7489101290061142, 'p_orig': 4.277856568829727e-11, 'p_target': 0.9999999999572213, 'similarity': 0.8297004103660583}"
ss449_cf_price_2,"$1 extra just to use oat milk in my coffee? No thanks! I get the draw, but as a vegan, this place feels overpriced.",price,ss449,products,1.7489101290061142,10.0,"{'term1': 0.9999999999572214, 'term2': 0.49999999997861067, 'term3': 0.24891012907028198, 'total': 1.7489101290061142, 'p_orig': 4.277856568829727e-11, 'p_target': 0.9999999999572213, 'similarity': 0.8297004103660583}"
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish ,environment,,,,,
ss207,one of the new race track store with an amazing selection good hot food great coffee and very clean bathrooms . ,environment,,,,,
ss381,very disappointed in the meals and price ,price,,,,,
ss14,"rodney and his crew gave us a great price and did the work so quick , literally , it was done before we knew it ",service,,,,,
ss386,everyone here is so friendly ! the whole establishment smells like great food and that 's exactly what it is . delicious ,products,,,,,
ss328,he gave me some great ideas with different price points . ,price,,,,,
ss49,there is usually no wait for lunch but it can take really long to get a table at night   they don´t take reservations   . ,service,,,,,
ss91,"delicious food , friendly people , quick . ",service,,,,,
ss367,"i completed my order of a $ 9 vegetable platter off of the "" hot bar "" with green beans , rice and lentils , and chickpeas and eggplant . ",products,,,,,
ss148,"i travel the world as part of my job "" and relax station is now a "" must do "" when in boston . "" ",none,,,,,
ss207_cf_products_0,"one of the new race track store with an amazing selection of hot food, great coffee, and a variety of quality items to choose from.",products,ss207,environment,1.7767960125073476,1.0,"{'term1': 0.9999999995941289, 'term2': 0.4999999997963822, 'term3': 0.27679601311683655, 'total': 1.7767960125073476, 'p_orig': 4.0587111628729116e-10, 'p_target': 0.9999999995927644, 'similarity': 0.9226533770561218}"
ss367_cf_price_2,"I completed my $9 purchase for a vegetable platter off of the 'hot bar' with green beans, rice and lentils, and chickpeas and eggplant.",price,ss367,products,1.7707341463479165,2.0,"{'term1': 0.9959298472346705, 'term2': 0.49796492361733524, 'term3': 0.27683937549591064, 'total': 1.7707341463479165, 'p_orig': 0.00407015276532946, 'p_target': 0.9959298472346705, 'similarity': 0.9227979183197021}"
ss367_cf_price_1,"I finalized my $9 purchase for a vegetable platter from the 'hot bar,' which felt like a fair deal for green beans, rice and lentils, chickpeas, and eggplant.",price,ss367,products,1.7701596189893118,3.0,"{'term1': 0.9999999317432001, 'term2': 0.49999996587160006, 'term3': 0.2701597213745117, 'total': 1.7701596189893118, 'p_orig': 6.825679988194164e-08, 'p_target': 0.9999999317432001, 'similarity': 0.9005323648452759}"
ss207_cf_products_2,"One of the new race track stores with an amazing variety, delicious hot food, excellent coffee, and high-quality essentials.",products,ss207,environment,1.767235961431712,4.0,"{'term1': 0.9999999979388187, 'term2': 0.4999999989562264, 'term3': 0.26723596453666687, 'total': 1.767235961431712, 'p_orig': 2.06118134713399e-09, 'p_target': 0.9999999979124528, 'similarity': 0.8907864689826965}"
ss90_cf_service_2,omg i love coming here the staff is amazing always attentive and kind the waiters are on time always sweet love the food definitely try the fish,service,ss90,environment,1.7663837678587733,5.0,"{'term1': 1.0, 'term2': 0.4999862320578395, 'term3': 0.26639753580093384, 'total': 1.7663837678587733, 'p_orig': 0.0, 'p_target': 0.999972464115679, 'similarity': 0.8879917860031128}"
ss381_cf_products_1,Very disappointed in the meals and quality,products,ss381,price,1.766037374731984,6.0,"{'term1': 1.0, 'term2': 0.4999999999971053, 'term3': 0.26603737473487854, 'total': 1.766037374731984, 'p_orig': 0.0, 'p_target': 0.9999999999942106, 'similarity': 0.8867911696434021}"
ss381_cf_products_0,Very disappointed in the meals and quality,products,ss381,price,1.7660373747261944,7.0,"{'term1': 0.9999999999942105, 'term2': 0.4999999999971053, 'term3': 0.26603737473487854, 'total': 1.7660373747261944, 'p_orig': 5.789457092678759e-12, 'p_target': 0.9999999999942106, 'similarity': 0.8867911696434021}"
ss381_cf_products_2,Very disappointed in the meals and quality.,products,ss381,price,1.764577031135374,8.0,"{'term1': 1.0, 'term2': 0.4999999999998149, 'term3': 0.2645770311355591, 'total': 1.764577031135374, 'p_orig': 0.0, 'p_target': 0.9999999999996299, 'similarity': 0.8819234371185303}"
ss90_cf_service_0,omg i love coming here the staff is always attentive very good timing the waiters are on point always sweet love the food definitely try the fish,service,ss90,environment,1.759006462358499,9.0,"{'term1': 1.0, 'term2': 0.49983232405092753, 'term3': 0.2591741383075714, 'total': 1.759006462358499, 'p_orig': 0.0, 'p_target': 0.9996646481018551, 'similarity': 0.8639137744903564}"
ss207_cf_products_1,"One of the new race track stores with an impressive variety, delicious snacks, excellent coffee, and high-quality essentials.",products,ss207,environment,1.754590986282996,10.0,"{'term1': 0.9999999987498299, 'term2': 0.49999999937398654, 'term3': 0.2545909881591797, 'total': 1.754590986282996, 'p_orig': 1.2501701037741843e-09, 'p_target': 0.9999999987479731, 'similarity': 0.8486366271972656}"
ss11,this particular location has a good check in deal . ,price,,,,,
ss232,"it is a surreal experience and profound in that you live for a few hours as a blind person would , being served by a blind person . ",service,,,,,
ss35,"they do not fill up your ice cream because they say they leave room so you can take your cap off , what about the big hole in the center of the lid ? ",products,,,,,
ss209,not the cheapest but fresh and delicious ! love the veggie green machine . ,products,,,,,
ss141,this place was just okay . the service is really great but i felt that the food was nothing special . ,products,,,,,
ss405,great pad thai with tofu . will be definitely coming back for more . amazing customer service . ,products,,,,,
ss297,the main squeeze was definitely the value and quality of our meal . ,products,,,,,
ss33,"the prices are reasonable , and my experience with the customer service has always been very positive ",service,,,,,
ss105,"i was looking for golf shoes , and found some that felt good and fit well but had no price . ",products,,,,,
ss489,i then had my consultation with dr. kruy directly .... and it was free ! ,service,,,,,
ss35_cf_service_2,"they do not serve your ice cream fully because they say they leave room so you can take your cap off, what about the big hole in the center of the lid?",service,ss35,products,1.7768526261780115,1.0,"{'term1': 0.9968273227687099, 'term2': 0.4984109402157897, 'term3': 0.28161436319351196, 'total': 1.7768526261780115, 'p_orig': 0.00317267723129007, 'p_target': 0.9968218804315794, 'similarity': 0.9387145042419434}"
ss35_cf_service_1,"they don’t properly assist with your ice cream because they claim to leave room for you to remove the cap, but what about the big hole in the center of the lid?",service,ss35,products,1.7718445888662449,2.0,"{'term1': 0.9999921106721931, 'term2': 0.4999960211990414, 'term3': 0.2718564569950104, 'total': 1.7718445888662449, 'p_orig': 7.88932780696244e-06, 'p_target': 0.9999920423980828, 'similarity': 0.9061881303787231}"
ss297_cf_price_0,the main squeeze was definitely the affordability and worth of our meal .,price,ss297,products,1.7711113019424498,3.0,"{'term1': 0.9999999973533912, 'term2': 0.4999999950607078, 'term3': 0.27111130952835083, 'total': 1.7711113019424498, 'p_orig': 2.646608772440708e-09, 'p_target': 0.9999999901214156, 'similarity': 0.9037043452262878}"
ss297_cf_price_1,the main squeeze was definitely the affordability and worth of our meal .,price,ss297,products,1.7711113003381629,4.0,"{'term1': 0.9999999966016876, 'term2': 0.4999999942081244, 'term3': 0.27111130952835083, 'total': 1.7711113003381629, 'p_orig': 3.3983123545768627e-09, 'p_target': 0.9999999884162488, 'similarity': 0.9037043452262878}"
ss297_cf_price_2,the main squeeze was definitely the affordability and worth of our meal.,price,ss297,products,1.7711112772985262,5.0,"{'term1': 0.9999999943971312, 'term2': 0.4999999733730443, 'term3': 0.27111130952835083, 'total': 1.7711112772985262, 'p_orig': 5.602868830394441e-09, 'p_target': 0.9999999467460886, 'similarity': 0.9037043452262878}"
ss33_cf_price_0,"the costs are reasonable, and my experience with the value has always been very positive",price,ss33,service,1.753220048750463,6.0,"{'term1': 0.9999999998837159, 'term2': 0.49999999733972367, 'term3': 0.2532200515270233, 'total': 1.753220048750463, 'p_orig': 1.1628411892546339e-10, 'p_target': 0.9999999946794473, 'similarity': 0.8440667986869812}"
ss35_cf_service_0,"they do not serve your ice cream properly because they say they leave room so you can take your cap off , what about the big gap in the way they handle the lid ?",service,ss35,products,1.7483472244541298,7.0,"{'term1': 0.999985260912445, 'term2': 0.49999243369835444, 'term3': 0.24836952984333038, 'total': 1.7483472244541298, 'p_orig': 1.4739087554966402e-05, 'p_target': 0.9999848673967089, 'similarity': 0.827898383140564}"
ss489_cf_price_1,i then had my consultation with dr. kruy directly .... and it didn’t cost me anything!,price,ss489,service,1.746213702383844,8.0,"{'term1': 0.9914226956111725, 'term2': 0.4956993016888246, 'term3': 0.25909170508384705, 'total': 1.746213702383844, 'p_orig': 0.008577304388827523, 'p_target': 0.9913986033776492, 'similarity': 0.8636389970779419}"
