iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,static,uncertainty,entropy,20,480,0,0,0,100,1.0,,0.6973684210526315,0.5610983981693364,0.6855359508611345,0.5777212261422788,0.6143052096962534
1,static,uncertainty,entropy,30,470,10,0,0,90,1.0,,0.7171052631578947,0.5777463235890201,0.7032323957663993,0.5866324465008675,0.6361372557295403
2,static,uncertainty,entropy,40,460,10,0,0,80,1.0,,0.7368421052631579,0.5937615190090437,0.7227348439731192,0.6043422733077906,0.6511937421742006
3,static,uncertainty,entropy,50,450,10,0,0,70,1.0,,0.743421052631579,0.7403729244699594,0.7421050098291552,0.7520332355816226,0.7983826446629806
4,static,uncertainty,entropy,60,440,10,0,0,60,1.0,,0.7894736842105263,0.8010355379725436,0.7919652875658918,0.835351901766996,0.8252288298934989
5,static,uncertainty,entropy,70,430,10,0,0,50,1.0,,0.7763157894736842,0.7341808418997641,0.7760286422641547,0.8272315172315172,0.7452288298934988
6,static,uncertainty,entropy,80,420,10,0,0,40,1.0,,0.7960526315789473,0.8054876385396785,0.7994848367017539,0.8384773784773785,0.8287376018233233
7,static,uncertainty,entropy,90,410,10,0,0,30,1.0,,0.8157894736842105,0.8219561976837518,0.8195382893077207,0.8507832167832168,0.8426516974071104
8,static,uncertainty,entropy,100,400,10,0,0,20,1.0,,0.8289473684210527,0.8315646868627786,0.833086156081388,0.8572843137254902,0.8496692412667596
9,static,uncertainty,entropy,110,390,10,0,0,10,1.0,,0.8289473684210527,0.8326669562139681,0.8322285308954027,0.8578213399503722,0.8496692412667596
10,static,uncertainty,entropy,120,380,10,0,0,0,1.0,,0.8355263157894737,0.8361440622711726,0.8388114603939357,0.8610256410256409,0.8497902334022708
