iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,entropy,20,480,0,0,0,100,1.0,,0.7171052631578947,0.5755709332474798,0.7031127326745225,0.5776730492247734,0.621759356959627
1,retrieval,uncertainty,entropy,40,470,10,10,10,90,1.0,,0.7236842105263158,0.5825395256916996,0.7113256058872477,0.5828798070307505,0.6385036367984918
2,retrieval,uncertainty,entropy,60,460,10,10,20,80,1.0,,0.7171052631578947,0.5740455725548893,0.7035752652539184,0.5776089856089855,0.6293616961409135
3,retrieval,uncertainty,entropy,80,450,10,10,30,70,1.0,,0.743421052631579,0.5981663837011885,0.7326884699014088,0.596031746031746,0.6524177323822788
4,retrieval,uncertainty,entropy,100,440,10,10,40,60,1.0,,0.7302631578947368,0.6982565390584259,0.7313721402521677,0.7057150784842239,0.7492013112170964
5,retrieval,uncertainty,entropy,120,430,10,10,50,50,1.0,,0.756578947368421,0.7268879747257391,0.7599862302503184,0.7360463320463321,0.7666241787307081
6,retrieval,uncertainty,entropy,140,420,10,10,60,40,1.0,,0.756578947368421,0.7381236137696351,0.7566985684547939,0.7645983827493261,0.7689089604524543
7,retrieval,uncertainty,entropy,160,410,10,10,70,30,1.0,,0.7631578947368421,0.7408196525033982,0.7650852116557743,0.7670463320463321,0.7690299525879655
8,retrieval,uncertainty,entropy,180,400,10,10,80,20,1.0,,0.7697368421052632,0.7617152453731882,0.7705052461325085,0.8186894279724468,0.7770688951729765
9,retrieval,uncertainty,entropy,200,390,10,10,90,10,1.0,,0.7828947368421053,0.7725076094718146,0.7834495666724177,0.8302567273155509,0.7852288298934987
10,retrieval,uncertainty,entropy,219,380,10,9,99,0,1.0,,0.7960526315789473,0.7834054334435583,0.7978855187228917,0.8367767295597484,0.7911039828922747
