iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,probe_entropy,20,480,0,0,0,100,1.0,,0.7105263157894737,0.5743173989131437,0.6993337308454889,0.5879479103163314,0.6247105333502159
1,retrieval,uncertainty,probe_entropy,37,470,10,7,7,90,1.0,,0.6973684210526315,0.5604027518856756,0.6802282825365131,0.5684783317800559,0.6188353803514399
2,retrieval,uncertainty,probe_entropy,57,460,10,10,17,80,1.0,,0.7302631578947368,0.5864256601098706,0.7214690767322346,0.587661669766933,0.6374822380731299
3,retrieval,uncertainty,probe_entropy,77,450,10,10,27,70,1.0,,0.7302631578947368,0.5880794151276809,0.7151962491725312,0.5833616298811545,0.6355524604079029
4,retrieval,uncertainty,probe_entropy,96,440,10,9,36,60,1.0,,0.7302631578947368,0.7255324441861942,0.7315168192036159,0.7317016317016317,0.7789169796986452
5,retrieval,uncertainty,probe_entropy,116,430,10,10,46,50,1.0,,0.743421052631579,0.716404506426054,0.7430153872586153,0.7275284770936945,0.7539734661433053
6,retrieval,uncertainty,probe_entropy,136,420,10,10,56,40,1.0,,0.7302631578947368,0.7076367240907848,0.7302997001065009,0.7203369272237197,0.7492013112170964
7,retrieval,uncertainty,probe_entropy,156,410,10,10,66,30,1.0,,0.7368421052631579,0.7127451106398475,0.7382386747345197,0.7265429864253393,0.7560978629412343
8,retrieval,uncertainty,probe_entropy,173,400,10,7,73,20,1.0,,0.7697368421052632,0.7480389097858302,0.7723056504691442,0.77037564499484,0.7747841134512303
9,retrieval,uncertainty,probe_entropy,193,390,10,10,83,10,1.0,,0.7302631578947368,0.705378965156149,0.7350933393116548,0.7223082706766917,0.7480589203562233
10,retrieval,uncertainty,probe_entropy,213,380,10,10,93,0,1.0,,0.75,0.7329473721715607,0.749288144829526,0.7612719633307868,0.7620124087283163
