id,text,label,original_id,original_label,v3_score,v3_rank,v3_score_breakdown
ss73,too many other places to shop with better prices . ,price,,,,,
ss104,the food and drinks are priced well . ,price,,,,,
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,,,,,
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,,,,,
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment,,,,,
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service,,,,,
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price,,,,,
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,,,,,
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service,,,,,
ss374,the black eyes peas and cornbread are delicious ! ,products,,,,,
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,,,,,
ss388,environment was lively and diverse . ,environment,,,,,
ss394,a manager so disrespectful what a shame ,service,,,,,
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price,,,,,
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment,,,,,
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service,,,,,
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price,,,,,
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service,,,,,
ss491,the environment was super sweet and people were nice ,environment,,,,,
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment,,,,,
ss227,"we tried the wings , the prawn clay pot and the crepe . ",products,,,,,
ss492,"friendly w / great customer service , reasonable prices , and a chill atmosphere ",environment,,,,,
ss143,"the rooms are nice , spacious and cozy . the huge 42 inch flat screen tv mounted to the wall made it covienent to watch tv from the cozy sectional or while in bed ",environment,,,,,
ss334,this mall actually feels like one in las vegas . ,environment,,,,,
ss351,"they do not accept reservations , but it is worth the wait . ",service,,,,,
ss281,"  all was tasty , but oatmeal was like hot water with flavor ",products,,,,,
ss297,the main squeeze was definitely the value and quality of our meal . ,products,,,,,
ss128,the product itself is a repellent combination of over intense flavours ,products,,,,,
ss218,unfortunately several times its been undercooked where literally another 90sec would ' ve made it awesome ,products,,,,,
ss309,my only complaint is i do n't like leaving there smelling like smoke and steak .   i wish their ventilation was a lot better . ,environment,,,,,
ss297_cf_price_2,The main squeeze was definitely the affordability and worth of our meal.,price,ss297,products,1.7711113080679004,1.0,"{'term1': 0.9999999990263664, 'term2': 0.4999999995131832, 'term3': 0.27111130952835083, 'total': 1.7711113080679004, 'p_orig': 9.736336197921585e-10, 'p_target': 0.9999999990263664, 'similarity': 0.9037043452262878}"
ss297_cf_price_1,the main squeeze was definitely the affordability and worth of our meal .,price,ss297,products,1.7711113064365787,2.0,"{'term1': 0.9999999979388187, 'term2': 0.4999999989694093, 'term3': 0.27111130952835083, 'total': 1.7711113064365787, 'p_orig': 2.061181347188335e-09, 'p_target': 0.9999999979388186, 'similarity': 0.9037043452262878}"
ss297_cf_price_0,the main squeeze was definitely the affordability and worth of our meal .,price,ss297,products,1.7711113044308822,3.0,"{'term1': 0.9999999966016876, 'term2': 0.49999999830084385, 'term3': 0.27111130952835083, 'total': 1.7711113044308822, 'p_orig': 3.3983123823935413e-09, 'p_target': 0.9999999966016877, 'similarity': 0.9037043452262878}"
ss334_cf_products_1,this mall actually has items that feel like ones in las vegas .,products,ss334,environment,1.7619501062957115,4.0,"{'term1': 0.9996646482262624, 'term2': 0.4998323192411714, 'term3': 0.2624531388282776, 'total': 1.7619501062957115, 'p_orig': 0.0003353517737375974, 'p_target': 0.9996646384823428, 'similarity': 0.8748437166213989}"
ss334_cf_products_0,this mall actually has items like ones in las vegas .,products,ss334,environment,1.7374914631119245,5.0,"{'term1': 0.9999952148674344, 'term2': 0.499997607230391, 'term3': 0.23749864101409912, 'total': 1.7374914631119245, 'p_orig': 4.785132565631593e-06, 'p_target': 0.999995214460782, 'similarity': 0.7916620969772339}"
ss218_cf_service_0,Unfortunately several times the timing has been off where literally another 90sec would 've made it awesome.,service,ss218,products,1.7243656955715139,6.0,"{'term1': 0.9992903263053224, 'term2': 0.4996451489006671, 'term3': 0.2254302203655243, 'total': 1.7243656955715139, 'p_orig': 0.0007096736946775719, 'p_target': 0.9992902978013342, 'similarity': 0.7514340281486511}"
ss309_cf_service_0,my only complaint is i do n't like how the staff handles the smoke and steak smell lingering on customers . i wish they were more attentive to addressing it .,service,ss309,environment,1.575153038385378,7.0,"{'term1': 0.9046504103361678, 'term2': 0.4523252051680839, 'term3': 0.2181774228811264, 'total': 1.575153038385378, 'p_orig': 0.09534958966383225, 'p_target': 0.9046504103361678, 'similarity': 0.727258026599884}"
ss212,there 's construction right in front of the building so parking and getting around are a bit difficult ,environment,,,,,
ss317,awesome prices . fast staff . ,service,,,,,
ss314,i was able to get a next day appointment .   had my rear window replaced and it came out great .   price was competitive . ,price,,,,,
ss373,"jeff and his team were fairly priced   we looked at 3 pest companies   , hard workers and provided excellent service throughout the job . ",service,,,,,
ss262,"their service price is on the higher - end , but their work is seamless , clean , professional , and complete ",service,,,,,
ss415,"the only negatives are that the inside is really small , so seating is incredibly cramped and could not accommodate groups ",environment,,,,,
ss287,and they let me apply the discount to both of our tickets . ,price,,,,,
ss368,"i am not from the area , and parking is tough ",environment,,,,,
ss407,"we got here just before the peak lunch crowd on a saturday morning , and still had to wait 30 minutes , which gave us enough time to find parking down the street . ",environment,,,,,
ss466,prices were reasonable and mission accomplished ! ,price,,,,,
ss287_cf_service_0,and they helped me apply the discount to both of our tickets .,service,ss287,price,1.7753575159951,1.0,"{'term1': 0.9999910602299326, 'term2': 0.4999955301002658, 'term3': 0.27537092566490173, 'total': 1.7753575159951, 'p_orig': 8.939770067428568e-06, 'p_target': 0.9999910602005316, 'similarity': 0.9179030060768127}"
ss287_cf_service_2,and they helped me apply the discount to both of our tickets.,service,ss287,price,1.7753537073749244,2.0,"{'term1': 0.9999885211431968, 'term2': 0.4999942605668259, 'term3': 0.27537092566490173, 'total': 1.7753537073749244, 'p_orig': 1.147885680315138e-05, 'p_target': 0.9999885211336518, 'similarity': 0.9179030060768127}"
ss314_cf_service_1,i was able to get a next day appointment .   had my rear window replaced and it came out great .   they were quick and professional .,service,ss314,price,1.7732696114769577,3.0,"{'term1': 0.9999999990263664, 'term2': 0.49999998893260117, 'term3': 0.2732696235179901, 'total': 1.7732696114769577, 'p_orig': 9.736335991889378e-10, 'p_target': 0.9999999778652023, 'similarity': 0.9108986854553223}"
ss314_cf_service_2,i was able to get a next day appointment .   had my rear window replaced and it came out great .   the process was smooth and efficient .,service,ss314,price,1.7709415208645074,4.0,"{'term1': 0.9999999999294701, 'term2': 0.4999999952373292, 'term3': 0.27094152569770813, 'total': 1.7709415208645074, 'p_orig': 7.052990679046312e-11, 'p_target': 0.9999999904746584, 'similarity': 0.9031383395195007}"
ss314_cf_service_0,i was able to get a next day appointment .   had my rear window replaced and it came out great .   the process was smooth .,service,ss314,price,1.7625333613017058,5.0,"{'term1': 0.9999999999377576, 'term2': 0.4999999946838031, 'term3': 0.26253336668014526, 'total': 1.7625333613017058, 'p_orig': 6.224242944670051e-11, 'p_target': 0.9999999893676061, 'similarity': 0.8751112222671509}"
ss262_cf_price_0,"their rates are on the higher-end, but the value delivered is seamless, clean, professional, and complete",price,ss262,service,1.7509661188774786,6.0,"{'term1': 0.9999980052522854, 'term2': 0.4999990017057899, 'term3': 0.2509691119194031, 'total': 1.7509661188774786, 'p_orig': 1.994747714530736e-06, 'p_target': 0.9999980034115798, 'similarity': 0.8365636467933655}"
ss415_cf_service_0,"the only negatives are that the staff struggled to manage seating arrangements, making it difficult to accommodate groups comfortably",service,ss415,environment,1.7485465186908107,7.0,"{'term1': 0.9999989322870481, 'term2': 0.49999946614352403, 'term3': 0.24854812026023865, 'total': 1.7485465186908107, 'p_orig': 1.0677129519105873e-06, 'p_target': 0.9999989322870481, 'similarity': 0.8284937143325806}"
ss415_cf_service_2,"the only negatives are that the staff struggled to manage seating arrangements, making it difficult to accommodate groups comfortably",service,ss415,environment,1.7485465186908107,8.0,"{'term1': 0.9999989322870481, 'term2': 0.49999946614352403, 'term3': 0.24854812026023865, 'total': 1.7485465186908107, 'p_orig': 1.0677129519105873e-06, 'p_target': 0.9999989322870481, 'similarity': 0.8284937143325806}"
ss407_cf_service_2,"We arrived just before the peak lunch crowd on a Saturday morning and still had to wait 30 minutes, which gave us enough time to get everything settled before being seated.",service,ss407,environment,1.7371516852149615,9.0,"{'term1': 0.9998415628207937, 'term2': 0.49992078139742563, 'term3': 0.23738934099674225, 'total': 1.7371516852149615, 'p_orig': 0.00015843717920630788, 'p_target': 0.9998415627948513, 'similarity': 0.7912977933883667}"
ss407_cf_service_0,"we arrived just before the peak lunch crowd on a saturday morning , and still had to wait 30 minutes , which gave us enough time to get seated and ready for our meal .",service,ss407,environment,1.733858539581175,10.0,"{'term1': 0.9959298472444241, 'term2': 0.49796492242403106, 'term3': 0.23996376991271973, 'total': 1.733858539581175, 'p_orig': 0.004070152755575901, 'p_target': 0.9959298448480621, 'similarity': 0.7998791933059692}"
ss119,2 pitchers of   sam adams   beer $ 50 . i like the dive vibe but that is unheard of even for the financial district . ,environment,,,,,
ss152,i really enjoyed   non - sarcastically   having an overpriced drink here because it reminded me of new york . ,environment,,,,,
ss191,"busy place . less options for "" buffet "" . quite expensive . you pay for the buffet and you pay extra for grilling . ",price,,,,,
ss325,"the only reason i gave this place 3 stars was because of the amount of food that you get for the price , big price little amount of food ",price,,,,,
ss115,a little expensive but i 'll definitely be back time and time again ,price,,,,,
ss434,"the food was n't half bad either , but i had the bar food staples . ",products,,,,,
ss363,overpriced wanna be burger and brew place . ,price,,,,,
ss265,there was a nice beer and cocktail list to choose from as well . ,products,,,,,
ss427,this place has an abundance of selections the food is very fresh and the service is friendly highly recommend it great value for the money ! ,products,,,,,
ss468,"large selection of your standard beers , liquors and wines ... ",products,,,,,
ss191_cf_environment_0,"busy place . less space for "" buffet "" . quite crowded . you wait for the buffet and you wait extra for grilling .",environment,ss191,price,1.7797632573342859,1.0,"{'term1': 0.9999999992417679, 'term2': 0.4999772077728465, 'term3': 0.27978605031967163, 'total': 1.7797632573342859, 'p_orig': 7.58232152990336e-10, 'p_target': 0.999954415545693, 'similarity': 0.9326201677322388}"
ss325_cf_products_0,"the only reason i gave this place 3 stars was because of the amount of food that you get, big portions but little variety",products,ss325,price,1.7749174966637877,2.0,"{'term1': 0.9999994956477003, 'term2': 0.4999997428259325, 'term3': 0.27491825819015503, 'total': 1.7749174966637877, 'p_orig': 5.04352299701064e-07, 'p_target': 0.999999485651865, 'similarity': 0.9163941144943237}"
ss119_cf_price_2,"2 pitchers of sam adams beer $50. That cost feels steep, even for the financial district.",price,ss119,environment,1.762102335622901,3.0,"{'term1': 0.9999999999740535, 'term2': 0.4999999999573955, 'term3': 0.262102335691452, 'total': 1.762102335622901, 'p_orig': 2.5946520393879512e-11, 'p_target': 0.999999999914791, 'similarity': 0.8736744523048401}"
ss119_cf_price_0,"2 pitchers of sam adams beer $50. that's way too steep, even for the financial district.",price,ss119,environment,1.7619989214829488,4.0,"{'term1': 0.9999999999450713, 'term2': 0.49999999990511085, 'term3': 0.2619989216327667, 'total': 1.7619989214829488, 'p_orig': 5.4928756388150215e-11, 'p_target': 0.9999999998102217, 'similarity': 0.8733296990394592}"
ss325_cf_products_2,"the only reason i gave this place 3 stars was because of the amount of food that you get, big portions would have made it better but the servings were too small",products,ss325,price,1.7614790238185865,5.0,"{'term1': 0.9997965719459413, 'term2': 0.4998982857750042, 'term3': 0.261784166097641, 'total': 1.7614790238185865, 'p_orig': 0.00020342805405867707, 'p_target': 0.9997965715500085, 'similarity': 0.8726138472557068}"
ss191_cf_environment_2,"crowded place . limited choices for "" buffet "" . feels cramped . you share space for the buffet and the grilling area . ",environment,ss191,price,1.7602350433738352,6.0,"{'term1': 0.9999999999294701, 'term2': 0.4999996742388903, 'term3': 0.26023536920547485, 'total': 1.7602350433738352, 'p_orig': 7.05299172030305e-11, 'p_target': 0.9999993484777806, 'similarity': 0.8674511909484863}"
ss325_cf_products_1,"the only reason i gave this place 3 stars was because of the quality of the food, big hype but little flavor or freshness",products,ss325,price,1.7535960075332337,7.0,"{'term1': 0.9999999998837159, 'term2': 0.4999999998255738, 'term3': 0.2535960078239441, 'total': 1.7535960075332337, 'p_orig': 1.1628414201765669e-10, 'p_target': 0.9999999996511476, 'similarity': 0.8453199863433838}"
ss119_cf_price_1,"2 pitchers of sam adams beer $50. That’s way too steep, even for the financial district—it’s hard to justify.",price,ss119,environment,1.752868264868977,8.0,"{'term1': 0.9999999999821673, 'term2': 0.4999999999732509, 'term3': 0.25286826491355896, 'total': 1.752868264868977, 'p_orig': 1.7832769787432526e-11, 'p_target': 0.9999999999465018, 'similarity': 0.8428941369056702}"
ss427_cf_price_0,this place offers excellent deals the food is worth every penny and the service is friendly highly recommend it great value for the money !,price,ss427,products,1.7471265547724169,9.0,"{'term1': 0.9999994956477686, 'term2': 0.49999973478192056, 'term3': 0.24712732434272766, 'total': 1.7471265547724169, 'p_orig': 5.043522314664319e-07, 'p_target': 0.9999994695638411, 'similarity': 0.8237577080726624}"
ss152_cf_price_1,i really enjoyed   non - sarcastically   having an expensive drink here because it felt worth every penny .,price,ss152,environment,1.7447039391172101,10.0,"{'term1': 0.9999999981831409, 'term2': 0.49941524106872803, 'term3': 0.2452886998653412, 'total': 1.7447039391172101, 'p_orig': 1.8168590893301197e-09, 'p_target': 0.9988304821374561, 'similarity': 0.8176289796829224}"
ss83,overrated crowded just okay . the staff was no where to be found when something was needed water glasses always empty will not return here . ,environment,,,,,
ss114,slowest coffee shop i ' ve been to in boston . took 15 minutes for me to get a breakfast sandwich . ,service,,,,,
ss467,drive all the way here to find it closed when it is said to be open on yelp and google ,none,,,,,
ss197,we recently bought a sofa and two chairs along with some other home items here . ,products,,,,,
ss498,if you have 4 hours for lunch you 'll have no problem eating here .   awful service which is a shame because their food is pretty good . ,products,,,,,
ss148,"i travel the world as part of my job "" and relax station is now a "" must do "" when in boston . "" ",none,,,,,
ss478,bad service . long wait time and no waiter serve us . empty tables inside and stand at the door for over 10 minutes but no one came to us . have to leave . ,service,,,,,
ss204,"also , the smell of the restaurant was very bothersome . ",environment,,,,,
ss35,"they do not fill up your ice cream because they say they leave room so you can take your cap off , what about the big hole in the center of the lid ? ",products,,,,,
ss464,"service was awful , bathrooms were filthy and wellesley 's stupid blue law about requiring every patron to order food while drinking is absurb . ",environment,,,,,
