iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,probe_entropy,20,480,0,0,0,100,1.0,,0.7105263157894737,0.5716105372078758,0.697510856697451,0.5742247733627044,0.6171081941689294
1,retrieval,uncertainty,probe_entropy,35,470,10,5,5,90,1.0,,0.6776315789473685,0.542818936416562,0.6628469984095773,0.5588735131733853,0.5897166064050797
2,retrieval,uncertainty,probe_entropy,54,460,10,9,14,80,1.0,,0.6973684210526315,0.5623927882354849,0.6848645063458783,0.5717972816657028,0.6199383784240071
3,retrieval,uncertainty,probe_entropy,74,450,10,10,24,70,1.0,,0.7302631578947368,0.5857543737242985,0.7177199714793701,0.5839110610751478,0.6352368491396896
4,retrieval,uncertainty,probe_entropy,94,440,10,10,34,60,1.0,,0.743421052631579,0.6000283544376489,0.7303884600461228,0.5939788051885722,0.6524177323822788
5,retrieval,uncertainty,probe_entropy,112,430,10,8,42,50,1.0,,0.7631578947368421,0.7403746240087503,0.7670145035476303,0.7647174254317112,0.7678875617270924
6,retrieval,uncertainty,probe_entropy,132,420,10,10,52,40,1.0,,0.7697368421052632,0.7440863484341744,0.7736750758775931,0.7665300902969883,0.7668661630017304
7,retrieval,uncertainty,probe_entropy,152,410,10,10,62,30,1.0,,0.7631578947368421,0.7424832775919733,0.7670035901836532,0.7617954874257394,0.7689905597996595
8,retrieval,uncertainty,probe_entropy,172,400,10,10,72,20,1.0,,0.756578947368421,0.7387021243452694,0.7569869370290321,0.7616976618217929,0.7643787897972679
9,retrieval,uncertainty,probe_entropy,192,390,10,10,82,10,1.0,,0.7631578947368421,0.7430003699593046,0.7642786036956987,0.7648601398601398,0.7678875617270924
10,retrieval,uncertainty,probe_entropy,212,380,10,10,92,0,1.0,,0.7697368421052632,0.7621670366259712,0.7705560159764006,0.8158761050270483,0.77253872451779
