id,text,label
ss73,too many other places to shop with better prices . ,price
ss104,the food and drinks are priced well . ,price
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service
ss374,the black eyes peas and cornbread are delicious ! ,products
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products
ss388,environment was lively and diverse . ,environment
ss394,a manager so disrespectful what a shame ,service
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service
ss491,the environment was super sweet and people were nice ,environment
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment
ss227,"we tried the wings , the prawn clay pot and the crepe . ",products
ss492,"friendly w / great customer service , reasonable prices , and a chill atmosphere ",environment
ss143,"the rooms are nice , spacious and cozy . the huge 42 inch flat screen tv mounted to the wall made it covienent to watch tv from the cozy sectional or while in bed ",environment
ss334,this mall actually feels like one in las vegas . ,environment
ss351,"they do not accept reservations , but it is worth the wait . ",service
ss281,"  all was tasty , but oatmeal was like hot water with flavor ",products
ss297,the main squeeze was definitely the value and quality of our meal . ,products
ss128,the product itself is a repellent combination of over intense flavours ,products
ss218,unfortunately several times its been undercooked where literally another 90sec would ' ve made it awesome ,products
ss309,my only complaint is i do n't like leaving there smelling like smoke and steak .   i wish their ventilation was a lot better . ,environment
ss205,service is n't great either . ,service
ss368,"i am not from the area , and parking is tough ",environment
ss236,"it is a little pricy though , i drop about $ 200 per visit . ",price
ss345,"dear hyatt place , if you are going to charge $ 75 for a pet fee , then tell me that my pet is n't allowed through the front door and lobby ",price
ss283,"i assumed because they are located next to intel ,    they figured they could charge a ridiculous price for a style . ",price
ss414,very slow service and they were n't even busy . ,service
ss266,they should be shut down for terrible service . ,service
ss324,out of state and unable to reach anyone by telephone .   usps has poor customer service . poor online help . ,service
ss180,parking can be a issue and they no longer have the dog pen . ,environment
ss269,their service is typically slow and unfriendly ,service
ss472,limited beer selection and food is over priced . service and atmosphere were good though . ,environment
ss393,no real depth to their selection but the price is right and they will have at least something for everyone ... ,price
ss400,even on a friday they had 2 $ off drafts . ,price
ss399,"also look for their sales , especially the dings & dents - the games are often barely hurt , but can be good discounts on already great prices ",price
ss311,very reasonably priced and came right on budget . ,price
ss191,"busy place . less options for "" buffet "" . quite expensive . you pay for the buffet and you pay extra for grilling . ",price
ss85,"not a cheap date , my pup ",price
ss276,the shoe was on special price so we got a good deal and bought the shoe as well ! ,products
ss341,"bubble teas are not so good ; they are cheap , so they are probably just right for the price . ",products
ss466,prices were reasonable and mission accomplished ! ,price
ss161,"always helpful , always wonderful , always available . ",service
ss456,i came on my lunch break and i was impressed with fast friendly service ,service
ss231,"pete comes across as a dependable , honest dude which is exactly what you 're looking for with an appliance repair guy . ",service
ss243,"do not eat here , it is unsanitary . ",environment
ss201,i love their location in la and was hoping to get the great service i usually get when i shop over there . ,service
ss312,great customer service very friendly . purchased the wrong size i called minutes before closing time theresa had the correct size by the next day . thanks theresa . ,service
ss237,"the staff really was engaging , and helped me , a novice , choose paints , brushes , talked with me about techniques , and told me where to go for more information ",service
ss64,she makes sure she gets that you are satisfied whilst going above & beyond ! ,service
ss167,jimmy really cares about his customers and his craft . ,service
ss306,"all you can say is yuuummmmmmmmyy , the line was n't bad given we were there around 3 pm ",service
ss190,rib kings closed earlier in the year . the slab of food truck fame   just opened in the same spot august 1st . ,none
ss480,my daughter brought me here for my birthday . had so much fun i did not recall leaving ! great selection . ,none
ss78,i love this restaurant all of my experiences there have been great . i encourage everyone to try it someday but beware it 's pricy . ,price
ss434,"the food was n't half bad either , but i had the bar food staples . ",products
ss402,one of the saddest buffets i 've been to . the selection though it seems many ... not so many great tasting edible dishes ... ,products
ss350,"great chicken , but go during a weekday lunch time to avoid the crowds ",products
ss427,this place has an abundance of selections the food is very fresh and the service is friendly highly recommend it great value for the money ! ,products
ss265,there was a nice beer and cocktail list to choose from as well . ,products
ss113,"they 've got an amazing variety of   clothing , furniture , knick knacks , glasses , boots , wacky toys ",products
ss441,very dark and stylish and clearly they were aiming for something of a cross between a club feel date night and just a nice evening out that you would like to bring someone special . ,environment
ss398,this is a beautiful library .   i 'd go see it if i was a tourist .   just stunning inside .   free internet and all the current magazines .   really well done and run . ,environment
ss404,very well ran and maintained museum . take your time and take everything in . some beautiful things await you here ! ,environment
ss229,i went by around 1:30p on a friday and there were still plenty of tables available even though they were busy and had nice outdoor seating as well . ,environment
ss200,went there after purchasing a groupon . huge mistake . rolls were not good . looked stale . ,products
ss268,good steak and service but holy moly the place is freezing ! bring a jacket . we were here in june and it was probably 60 degrees f inside . i was shivering the whole time . ,environment
ss23,great place to leave your little one . affordable and friendly staff . we are very happy to have them available . ,service
ss353,great place for families ! clean safe and fun for all ages ! ! ,environment
ss42,ssshhh ... do n't tell any more people about this place ! ,none
ss299,locker rooms are always dirty especially the bathrooms . often on weekends the stalls are out of toilet paper hair balls under the equipment on the floor which are still there a month later ..... ,environment
ss147,it 's wheelchair - accessible ,environment
ss449,no vegan donuts and $ 1 charge to use oat milk as creamer in my coffee ? no thanks ! i get the draw but as a vegan this place is unfriendly . ,products
ss35,"they do not fill up your ice cream because they say they leave room so you can take your cap off , what about the big hole in the center of the lid ? ",products
ss145,seriously unless you are seconds from starvation save your money and walk 3 - 4 blocks to the upper crust in the south end . their pizza is awful and the service is cavalier . ,products
ss114,slowest coffee shop i ' ve been to in boston . took 15 minutes for me to get a breakfast sandwich . ,service
ss424,"yuk . untuckit shirts fit my 5 ' 8 : husband to a glove- perfect . but the fabric is awfully cheap for a $ 90 + shirt "" and has a "" perma - smell "" that leads us to avoid this product . ” ",products
ss481,"well , massively disappointed with this place . fries were cold , i mean 5 hour cold ! ! the burger ? smashed together like they were trying to save space in bvb yge bag . ",products
ss70,wish i could give it more . everything about this restaurant was a big negative . the food was bland and service was terrible . ,products
ss115,a little expensive but i 'll definitely be back time and time again ,price
ss498,if you have 4 hours for lunch you 'll have no problem eating here .   awful service which is a shame because their food is pretty good . ,products
ss308,this place is only worth your time if you are looking for discount designer jeans ,price
ss467,drive all the way here to find it closed when it is said to be open on yelp and google ,none
ss197,we recently bought a sofa and two chairs along with some other home items here . ,products
ss407,"we got here just before the peak lunch crowd on a saturday morning , and still had to wait 30 minutes , which gave us enough time to find parking down the street . ",environment
ss384,"my only prior complaint was the cramped space , but since the recent expansion , this is no longer an issue . ",environment
ss11,this particular location has a good check in deal . ,price
ss148,"i travel the world as part of my job "" and relax station is now a "" must do "" when in boston . "" ",none
ss395,blain did an excellent job on our grout sealant at a great price . ,service
ss37,this is the worst place for a hairstyle . ,service
ss453,are they still open ? no web site and the phone number does n't work . ,service
ss401,there 's no place to change a baby 's diaper   no changing tables   ,environment
ss162,i did end up finding the perfect doll . ,products
ss83,overrated crowded just okay . the staff was no where to be found when something was needed water glasses always empty will not return here . ,environment
ss175,this is the best indian in the portland metro area ,products
ss156,truly incredible and such reasonable pricing . ,price
ss34,"they offer a variety of leagues and training options with some discounts   about 10 %   for ubc students , staff , faculty and una residents . ",products
ss99,they should make it easier to make a reservation online ! ,service
ss318,cheap prices ok staff there all younger people so that can be why other then that best place for grocery ,service
ss287,and they let me apply the discount to both of our tickets . ,price
ss232,"it is a surreal experience and profound in that you live for a few hours as a blind person would , being served by a blind person . ",service
ss248,i bought a living social deal $ 30 for $ 60 awhile back . ,products
ss363,overpriced wanna be burger and brew place . ,price
ss302,very covid friendly . ,environment
ss282,"place looks like a typical upscale burger restaurant , staff is nice enough . ",environment
ss222,give me a good waiter and decent food and it 's hard to not impress . ,service
ss464,"service was awful , bathrooms were filthy and wellesley 's stupid blue law about requiring every patron to order food while drinking is absurb . ",environment
ss74,"so when i moved my leg the wax got all over my sock and instead of apologizing for putting them in a spot it should n't have been , she told me to be careful ! ",service
ss362,nice location and was able to grab a starbucks and parking spot across the street . ,environment
ss15,"the staff , vanguards of vigilant satisfaction and scholars of fun and entertainment . ",service
ss55,reat product for the money ! ! if you ever have a problem   do n't fret . customer service is a+ ! definitely would recommend this company ! ! ! ,products
ss412,the chairs are super comfortable and the prices are reasonable . ,environment
