iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,static,uncertainty,probe_entropy,20,480,0,0,0,100,1.0,,0.7039473684210527,0.5681682766091901,0.6916710617384845,0.5800782550782551,0.6245895412147047
1,static,uncertainty,probe_entropy,30,470,10,0,0,90,1.0,,0.6513157894736842,0.5221543314445938,0.635409691499032,0.5512487512487513,0.5787536872118816
2,static,uncertainty,probe_entropy,40,460,10,0,0,80,1.0,,0.6973684210526315,0.5624613481756339,0.684271555512157,0.568582995951417,0.6199383784240071
3,static,uncertainty,probe_entropy,50,450,10,0,0,70,1.0,,0.6973684210526315,0.5643905723905723,0.6838374977848661,0.5724488124488125,0.6199383784240071
4,static,uncertainty,probe_entropy,60,440,10,0,0,60,1.0,,0.7171052631578947,0.5794678293468074,0.7057247913802681,0.5824336424336425,0.6338524740077942
5,static,uncertainty,probe_entropy,70,430,10,0,0,50,1.0,,0.7105263157894737,0.7245156848164367,0.7114835599699074,0.7540995236647412,0.7717784437034849
6,static,uncertainty,probe_entropy,80,420,10,0,0,40,1.0,,0.7039473684210527,0.6958211635323222,0.7046403959420576,0.7347856849876948,0.7317784437034849
7,static,uncertainty,probe_entropy,90,410,10,0,0,30,1.0,,0.7105263157894737,0.7009952766531714,0.7115478949144116,0.737661559113569,0.7352872156333093
8,static,uncertainty,probe_entropy,100,400,10,0,0,20,1.0,,0.743421052631579,0.7416669134997976,0.7437074602585668,0.8050534759358289,0.7585036367984918
9,static,uncertainty,probe_entropy,110,390,10,0,0,10,1.0,,0.743421052631579,0.7399397133184961,0.7439909526220196,0.8016908212560386,0.7551158570041785
10,static,uncertainty,probe_entropy,120,380,10,0,0,0,1.0,,0.7631578947368421,0.7669365401720705,0.7643124316165647,0.7766763246951927,0.804378789797268
