iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,probe_entropy,20,480,0,0,0,100,1.0,,0.7302631578947368,0.5864031450428666,0.7182751215677182,0.5852078452078452,0.6355524604079029
1,retrieval,uncertainty,probe_entropy,30,470,10,0,0,90,1.0,,0.7171052631578947,0.582936576107063,0.7045401456640686,0.5979094516594516,0.6251471367539404
2,retrieval,uncertainty,probe_entropy,40,460,10,0,0,80,1.0,,0.7236842105263158,0.5808502024291498,0.7093674089068825,0.5910521693578208,0.6230227399560114
3,retrieval,uncertainty,probe_entropy,50,450,10,0,0,70,1.0,,0.7236842105263158,0.586805982147597,0.7063305335923021,0.5892465060058926,0.6331860793389514
4,retrieval,uncertainty,probe_entropy,60,440,10,0,0,60,1.0,,0.7368421052631579,0.5926100628930817,0.7262288977159881,0.5933236574746009,0.6421334008638275
5,retrieval,uncertainty,probe_entropy,70,430,10,0,0,50,1.0,,0.7039473684210527,0.6842037327751613,0.7039201713073894,0.7154992548435171,0.7185429357944446
6,retrieval,uncertainty,probe_entropy,80,420,10,0,0,40,1.0,,0.7236842105263158,0.6697979797979798,0.7267261430090378,0.705880802504437,0.6990379718341565
7,retrieval,uncertainty,probe_entropy,90,410,10,0,0,30,1.0,,0.7039473684210527,0.6935090605710552,0.703902099342942,0.7464976958525346,0.7196853266553177
8,retrieval,uncertainty,probe_entropy,100,400,10,0,0,20,1.0,,0.7302631578947368,0.7541367521367521,0.7262387539361225,0.808711943793911,0.7834865431421376
9,retrieval,uncertainty,probe_entropy,110,390,10,0,0,10,1.0,,0.7302631578947368,0.7539132501485442,0.7293117709603777,0.8073912856854355,0.7823441522812644
10,retrieval,uncertainty,probe_entropy,120,380,10,0,0,0,1.0,,0.7105263157894737,0.715608660146045,0.707412479234302,0.7897993108708803,0.7375719973550556
