iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,entropy,20,480,0,0,0,100,1.0,,0.6973684210526315,0.5623767738492754,0.6833865646620477,0.5728434065934065,0.6210807692848801
1,retrieval,uncertainty,entropy,30,470,10,0,0,90,1.0,,0.6776315789473685,0.6331032647771593,0.6738274298243989,0.6786699507389162,0.6756189591862576
2,retrieval,uncertainty,entropy,40,460,10,0,0,80,1.0,,0.6973684210526315,0.6470340136054421,0.7000235708318415,0.6906858054226475,0.6785429357944446
3,retrieval,uncertainty,entropy,50,450,10,0,0,70,1.0,,0.7105263157894737,0.6980750360750361,0.7143333713070555,0.7440191387559809,0.7254394875185826
4,retrieval,uncertainty,entropy,60,440,10,0,0,60,1.0,,0.7236842105263158,0.7068567155215226,0.7269812921370853,0.7490372520561199,0.7366715907652048
5,retrieval,uncertainty,entropy,70,430,10,0,0,50,1.0,,0.7368421052631579,0.721465362123257,0.7390065656296612,0.7599649871594089,0.7549948648686672
6,retrieval,uncertainty,entropy,80,420,10,0,0,40,1.0,,0.743421052631579,0.7266025641025642,0.7457450718141508,0.7627506431958389,0.7585036367984918
7,retrieval,uncertainty,entropy,90,410,10,0,0,30,1.0,,0.7631578947368421,0.7411838818290433,0.7663599778200797,0.7681861861861862,0.7724177323822788
8,retrieval,uncertainty,entropy,100,400,10,0,0,20,1.0,,0.7368421052631579,0.7226455026455026,0.7381648565859092,0.7547694761378972,0.7572402538021075
9,retrieval,uncertainty,entropy,110,390,10,0,0,10,1.0,,0.7894736842105263,0.7765260391956498,0.7926728927488239,0.8312375594728536,0.7909829907567636
10,retrieval,uncertainty,entropy,120,380,10,0,0,0,1.0,,0.8026315789473685,0.7869952971517427,0.8054682400548533,0.8377485259838201,0.7980005346164127
