iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,entropy,20,480,0,0,0,100,1.0,,0.7039473684210527,0.5676286676286676,0.6903401179716969,0.5758407382091593,0.6245895412147047
1,retrieval,uncertainty,entropy,40,470,10,10,10,90,1.0,,0.7236842105263158,0.5848400655947825,0.7079410162826252,0.5870994227650574,0.6396460276593648
2,retrieval,uncertainty,entropy,57,460,10,7,17,80,1.0,,0.7171052631578947,0.695546301388998,0.7154260500653167,0.7171273291925466,0.739938378424007
3,retrieval,uncertainty,entropy,74,450,10,7,24,70,1.0,,0.7105263157894737,0.6922382469282737,0.7092139462537745,0.7139395260363003,0.7386749954276228
4,retrieval,uncertainty,entropy,93,440,10,9,33,60,1.0,,0.7302631578947368,0.7175644509543174,0.7277646024982088,0.7517857142857143,0.7514860929388426
5,retrieval,uncertainty,entropy,113,430,10,10,43,50,1.0,,0.743421052631579,0.7393609635877676,0.7441829330563732,0.7500740740740741,0.7972402538021075
6,retrieval,uncertainty,entropy,129,420,10,6,49,40,1.0,,0.75,0.7434400745039043,0.7545978636684123,0.7517286698463169,0.799606634871059
7,retrieval,uncertainty,entropy,149,410,10,10,59,30,1.0,,0.7828947368421053,0.7831231109044408,0.7846545593741969,0.7931837973347406,0.8228230560362414
8,retrieval,uncertainty,entropy,169,400,10,10,69,20,1.0,,0.7763157894736842,0.7751964589260043,0.7798083756529952,0.7888571428571429,0.8159265043121036
9,retrieval,uncertainty,entropy,189,390,10,10,79,10,1.0,,0.8026315789473685,0.7983249779602363,0.8038467697982177,0.8039955054075566,0.8344917626865881
10,retrieval,uncertainty,entropy,207,380,10,8,87,0,1.0,,0.8026315789473685,0.7972301740812379,0.8058907665682581,0.8023642533936652,0.833349371825715
