iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,entropy,15,417,0,0,0,100,1.0,,0.8888888888888888,0.888298005679641,0.8882980056796411,0.8905483405483405,0.888888888888889
1,retrieval,uncertainty,entropy,29,407,10,4,4,90,1.0,,0.9074074074074074,0.907548660489837,0.9075486604898368,0.9138071895424836,0.9074074074074074
2,retrieval,uncertainty,entropy,40,397,10,1,5,80,1.0,,0.8888888888888888,0.8894026245583676,0.8894026245583676,0.9002117953730857,0.888888888888889
3,retrieval,uncertainty,entropy,55,387,10,5,10,70,1.0,,0.8981481481481481,0.8988816738816738,0.898881673881674,0.9109031491384433,0.8981481481481483
4,retrieval,uncertainty,entropy,66,377,10,1,11,60,1.0,,0.8796296296296297,0.8784488985193212,0.8784488985193212,0.8897820570234364,0.8796296296296297
5,retrieval,uncertainty,entropy,79,367,10,3,14,50,1.0,,0.8888888888888888,0.8888511192405782,0.8888511192405781,0.896633486023021,0.888888888888889
6,retrieval,uncertainty,entropy,89,357,10,0,14,40,1.0,,0.8888888888888888,0.8891352908802487,0.8891352908802487,0.8972647991543341,0.888888888888889
7,retrieval,uncertainty,entropy,102,347,10,3,17,30,1.0,,0.8796296296296297,0.8800728704110347,0.8800728704110347,0.8936026936026936,0.8796296296296297
8,retrieval,uncertainty,entropy,112,337,10,0,17,20,1.0,,0.8703703703703703,0.8697508253063808,0.8697508253063809,0.8833295770415446,0.8703703703703703
9,retrieval,uncertainty,entropy,125,327,10,3,20,10,1.0,,0.8981481481481481,0.8983049630108454,0.8983049630108454,0.9046160130718954,0.8981481481481483
10,retrieval,uncertainty,entropy,137,317,10,2,22,0,1.0,,0.9074074074074074,0.9074213552258291,0.9074213552258291,0.9122314169570266,0.9074074074074074
