iteration,budget_used,classifier_type,query_strategy,uncertainty_method,embedding_backend,cf_inclusion_strategy,k_max,target_label_strategy,labeled_pool_size,unlabeled_pool_size,total_factuals,total_cfs,num_factuals_added,num_cfs_added,cf_pass_rate,budget_remaining,alpha_cf,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,0,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,21,411,21,0,0,0,,100,1.0,0.7962962962962963,0.7985540932683376,0.7985540932683374,0.8053545480964835,0.7962962962962963
1,10,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,35,401,31,4,10,4,,90,1.0,,,,,
2,20,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,51,391,41,10,10,6,,80,1.0,,,,,
3,30,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,65,381,51,14,10,4,,70,1.0,,,,,
4,40,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,81,371,61,20,10,6,,60,1.0,,,,,
5,50,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,95,361,71,24,10,4,,50,1.0,,,,,
6,60,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,112,351,81,31,10,7,,40,1.0,,,,,
7,70,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,127,341,91,36,10,5,,30,1.0,,,,,
8,80,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,145,331,101,44,10,8,,20,1.0,,,,,
9,90,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,164,321,111,53,10,9,,10,1.0,,,,,
10,100,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,180,311,121,59,10,6,,0,1.0,,,,,
11,100,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,180,311,121,59,0,0,,0,1.0,0.7962962962962963,0.7993719219332321,0.7993719219332321,0.8070982272595176,0.7962962962962963
