iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
1,10,full,static,-,-,35,31,4,0.7685185185185185,0.7730313919734102,0.7730313919734102,0.7841129316420016,0.7685185185185185
2,20,full,static,-,-,51,41,10,0.7962962962962963,0.799702712746191,0.799702712746191,0.8080808080808081,0.7962962962962963
3,30,full,static,-,-,65,51,14,0.7870370370370371,0.7919462238553058,0.7919462238553059,0.8078927718040622,0.7870370370370371
4,40,full,static,-,-,81,61,20,0.7777777777777778,0.781894873458793,0.7818948734587929,0.7947214076246335,0.7777777777777778
5,50,full,static,-,-,95,71,24,0.8055555555555556,0.8075385647216633,0.8075385647216633,0.8108812755871581,0.8055555555555557
6,60,full,static,-,-,112,81,31,0.7870370370370371,0.7912741321074384,0.7912741321074385,0.8022815362931643,0.7870370370370371
7,70,full,static,-,-,127,91,36,0.7962962962962963,0.7969108409972773,0.7969108409972774,0.7977262977262978,0.7962962962962963
8,80,full,static,-,-,145,101,44,0.7962962962962963,0.7987468671679198,0.7987468671679198,0.8034313725490195,0.7962962962962963
9,90,full,static,-,-,164,111,53,0.7777777777777778,0.7792158355538638,0.7792158355538638,0.7812030075187971,0.7777777777777777
10,100,full,static,-,-,180,121,59,0.7962962962962963,0.7988089853761494,0.7988089853761495,0.8064953230177463,0.7962962962962963
11,110,full,static,-,-,180,121,59,0.8055555555555556,0.8073260230928989,0.8073260230928988,0.813687881429817,0.8055555555555555
1,10,factuals_only,static,-,-,31,31,0,0.8055555555555556,0.8084281087595088,0.8084281087595089,0.8154398954703833,0.8055555555555555
2,20,factuals_only,static,-,-,41,41,0,0.7962962962962963,0.7971298108284408,0.7971298108284409,0.798622151563328,0.7962962962962963
3,30,factuals_only,static,-,-,51,51,0,0.7870370370370371,0.7867021951528993,0.7867021951528993,0.7869674185463659,0.7870370370370371
4,40,factuals_only,static,-,-,61,61,0,0.8055555555555556,0.8054012966689023,0.8054012966689023,0.806693959635136,0.8055555555555557
5,50,factuals_only,static,-,-,71,71,0,0.7870370370370371,0.7874660374660375,0.7874660374660374,0.7887570232771471,0.7870370370370371
6,60,factuals_only,static,-,-,81,81,0,0.8148148148148148,0.8165217391304348,0.8165217391304348,0.8201243201243201,0.8148148148148149
7,70,factuals_only,static,-,-,91,91,0,0.7962962962962963,0.7969108409972773,0.7969108409972774,0.7977262977262978,0.7962962962962963
8,80,factuals_only,static,-,-,101,101,0,0.8055555555555556,0.8067353067353067,0.8067353067353067,0.8087375300997591,0.8055555555555557
9,90,factuals_only,static,-,-,111,111,0,0.7870370370370371,0.7877784209059532,0.7877784209059532,0.7887172887172887,0.7870370370370371
10,100,factuals_only,static,-,-,121,121,0,0.7962962962962963,0.7971298108284408,0.7971298108284409,0.798622151563328,0.7962962962962963
11,110,factuals_only,static,-,-,121,121,0,0.7962962962962963,0.7971298108284408,0.7971298108284409,0.798622151563328,0.7962962962962963
1,10,factuals_only,bm25,-,20,31,31,0,0.8148148148148148,0.8172762718491177,0.8172762718491178,0.82444056960186,0.8148148148148149
1,10,factuals_only,bm25,-,20,31,31,0,0.8055555555555556,0.8074187483212464,0.8074187483212463,0.8121318433818434,0.8055555555555557
2,20,factuals_only,bm25,-,20,41,41,0,0.7870370370370371,0.7896743492718725,0.7896743492718725,0.7956018518518518,0.7870370370370371
2,20,factuals_only,bm25,-,20,41,41,0,0.8055555555555556,0.8083674495439203,0.80836744954392,0.8165557889822596,0.8055555555555557
3,30,factuals_only,bm25,-,20,51,51,0,0.8148148148148148,0.8174172427903771,0.8174172427903771,0.8253780924906023,0.8148148148148149
3,30,factuals_only,bm25,-,20,51,51,0,0.8148148148148148,0.8174172427903771,0.8174172427903771,0.8253780924906023,0.8148148148148149
4,40,factuals_only,bm25,-,20,61,61,0,0.7870370370370371,0.7899385953117296,0.7899385953117296,0.7972080739483115,0.7870370370370371
4,40,factuals_only,bm25,-,20,61,61,0,0.7870370370370371,0.7899385953117296,0.7899385953117296,0.7972080739483115,0.7870370370370371
5,50,factuals_only,bm25,-,20,71,71,0,0.7870370370370371,0.7890821256038647,0.7890821256038647,0.7929292929292929,0.7870370370370371
5,50,factuals_only,bm25,-,20,71,71,0,0.8148148148148148,0.8181106026386665,0.8181106026386665,0.8277009728622632,0.8148148148148149
6,60,factuals_only,bm25,-,20,81,81,0,0.8333333333333334,0.834012584012584,0.834012584012584,0.8355406490081413,0.8333333333333334
6,60,factuals_only,bm25,-,20,81,81,0,0.8148148148148148,0.814993564993565,0.814993564993565,0.8160474716202271,0.8148148148148149
7,70,factuals_only,bm25,-,20,91,91,0,0.8148148148148148,0.8148148148148149,0.8148148148148148,0.8148148148148149,0.8148148148148149
7,70,factuals_only,bm25,-,20,91,91,0,0.8240740740740741,0.8235363474607156,0.8235363474607156,0.8232089232089232,0.8240740740740741
8,80,factuals_only,bm25,-,20,101,101,0,0.8055555555555556,0.8041384863123994,0.8041384863123994,0.8045195545195544,0.8055555555555557
8,80,factuals_only,bm25,-,20,101,101,0,0.8055555555555556,0.8041384863123994,0.8041384863123994,0.8045195545195544,0.8055555555555557
9,90,factuals_only,bm25,-,20,111,111,0,0.8148148148148148,0.8133977455716587,0.8133977455716587,0.8137788137788137,0.8148148148148149
9,90,factuals_only,bm25,-,20,111,111,0,0.8148148148148148,0.8133977455716587,0.8133977455716587,0.8137788137788137,0.8148148148148149
10,100,factuals_only,bm25,-,20,121,121,0,0.8333333333333334,0.8324853228962817,0.8324853228962817,0.8322734499205087,0.8333333333333334
10,100,factuals_only,bm25,-,20,121,121,0,0.8055555555555556,0.8041384863123994,0.8041384863123994,0.8045195545195544,0.8055555555555557
11,110,factuals_only,bm25,-,20,121,121,0,0.8240740740740741,0.8227244516702527,0.8227244516702528,0.8228443754759546,0.8240740740740741
11,110,factuals_only,bm25,-,20,121,121,0,0.8055555555555556,0.8041384863123994,0.8041384863123994,0.8045195545195544,0.8055555555555557
1,10,full,bm25,mixed,20,35,31,4,0.7870370370370371,0.7908419662151006,0.7908419662151005,0.799858670629717,0.7870370370370371
2,20,full,bm25,mixed,20,51,41,10,0.7962962962962963,0.7989459815546773,0.7989459815546772,0.8051823833746359,0.7962962962962963
3,30,full,bm25,mixed,20,65,51,14,0.7962962962962963,0.8000303493426116,0.8000303493426115,0.8149641577060932,0.7962962962962963
4,40,full,bm25,mixed,20,81,61,20,0.7962962962962963,0.8001739227301558,0.8001739227301556,0.8102406554019458,0.7962962962962963
5,50,full,bm25,mixed,20,95,71,24,0.7962962962962963,0.8001739227301558,0.8001739227301556,0.8102406554019458,0.7962962962962963
6,60,full,bm25,mixed,20,112,81,31,0.7777777777777778,0.7815827069558413,0.7815827069558412,0.7905994113704579,0.7777777777777778
7,70,full,bm25,mixed,20,127,91,36,0.8148148148148148,0.815632533942393,0.8156325339423931,0.8170426065162908,0.8148148148148149
8,80,full,bm25,mixed,20,145,101,44,0.8055555555555556,0.8080096834184051,0.808009683418405,0.8174697556964999,0.8055555555555557
9,90,full,bm25,mixed,20,164,111,53,0.8333333333333334,0.8355480476441537,0.8355480476441536,0.842116724738676,0.8333333333333334
10,100,full,bm25,mixed,20,180,121,59,0.7962962962962963,0.7979710144927535,0.7979710144927536,0.8014763014763014,0.7962962962962963
11,110,full,bm25,mixed,20,180,121,59,0.7962962962962963,0.7979710144927535,0.7979710144927536,0.8014763014763014,0.7962962962962963
1,10,full,bm25,factual_anchored,20,35,31,4,0.8148148148148148,0.8165217391304348,0.8165217391304348,0.8201243201243201,0.8148148148148149
2,20,full,bm25,factual_anchored,20,51,41,10,0.8148148148148148,0.8186711800333831,0.8186711800333831,0.8289298515104967,0.8148148148148149
3,30,full,bm25,factual_anchored,20,65,51,14,0.8055555555555556,0.8094734285174489,0.809473428517449,0.820947884029831,0.8055555555555557
4,40,full,bm25,factual_anchored,20,81,61,20,0.8055555555555556,0.8076964460560152,0.8076964460560153,0.8140461672473869,0.8055555555555557
5,50,full,bm25,factual_anchored,20,95,71,24,0.8333333333333334,0.8357721734813902,0.8357721734813902,0.8454237138830162,0.8333333333333334
6,60,full,bm25,factual_anchored,20,112,81,31,0.7962962962962963,0.8004901960784313,0.8004901960784312,0.8134469696969697,0.7962962962962964
7,70,full,bm25,factual_anchored,20,127,91,36,0.8333333333333334,0.8361204013377926,0.8361204013377928,0.8441558441558441,0.8333333333333334
8,80,full,bm25,factual_anchored,20,145,101,44,0.8333333333333334,0.8367456197274498,0.8367456197274498,0.8497067448680351,0.8333333333333334
9,90,full,bm25,factual_anchored,20,164,111,53,0.8333333333333334,0.8355930139699116,0.8355930139699116,0.8405122655122655,0.8333333333333334
10,100,full,bm25,factual_anchored,20,180,121,59,0.8148148148148148,0.8171592483965578,0.8171592483965577,0.8220779220779221,0.8148148148148149
11,110,full,bm25,factual_anchored,20,180,121,59,0.8055555555555556,0.8084697910784868,0.8084697910784868,0.8149863049432633,0.8055555555555555
1,10,factuals_only,contriever,-,20,31,31,0,0.7870370370370371,0.7895985293245568,0.7895985293245567,0.7987914744012304,0.7870370370370371
1,10,factuals_only,contriever,-,20,31,31,0,0.7777777777777778,0.7800767274451484,0.7800767274451486,0.7885964912280702,0.7777777777777778
2,20,factuals_only,contriever,-,20,41,41,0,0.8148148148148148,0.8181106026386665,0.8181106026386665,0.8277009728622632,0.8148148148148149
2,20,factuals_only,contriever,-,20,41,41,0,0.8055555555555556,0.8078364932096275,0.8078364932096276,0.8145270123198816,0.8055555555555557
3,30,factuals_only,contriever,-,20,51,51,0,0.7870370370370371,0.7894216731770133,0.7894216731770132,0.7963455390874746,0.7870370370370371
3,30,factuals_only,contriever,-,20,51,51,0,0.7870370370370371,0.7894216731770133,0.7894216731770132,0.7963455390874746,0.7870370370370371
4,40,factuals_only,contriever,-,20,61,61,0,0.8148148148148148,0.8170155567415841,0.8170155567415841,0.8261627481139676,0.8148148148148149
4,40,factuals_only,contriever,-,20,61,61,0,0.8333333333333334,0.834805985490917,0.8348059854909169,0.8433018384237897,0.8333333333333334
5,50,factuals_only,contriever,-,20,71,71,0,0.7962962962962963,0.7985540932683376,0.7985540932683374,0.8053545480964835,0.7962962962962963
5,50,factuals_only,contriever,-,20,71,71,0,0.7962962962962963,0.7978862444534087,0.7978862444534086,0.8037743241478386,0.7962962962962963
6,60,factuals_only,contriever,-,20,81,81,0,0.8148148148148148,0.8157841423513066,0.8157841423513067,0.8210932625194086,0.8148148148148148
6,60,factuals_only,contriever,-,20,81,81,0,0.8240740740740741,0.8248542660307366,0.8248542660307366,0.8283991228070176,0.8240740740740741
7,70,factuals_only,contriever,-,20,91,91,0,0.8240740740740741,0.8257367274395139,0.8257367274395138,0.830787037037037,0.8240740740740741
7,70,factuals_only,contriever,-,20,91,91,0,0.8240740740740741,0.8266765020496364,0.8266765020496364,0.8346373517498616,0.8240740740740741
8,80,factuals_only,contriever,-,20,101,101,0,0.8148148148148148,0.8181106026386665,0.8181106026386665,0.8277009728622632,0.8148148148148149
8,80,factuals_only,contriever,-,20,101,101,0,0.8240740740740741,0.8266765020496364,0.8266765020496364,0.8346373517498616,0.8240740740740741
9,90,factuals_only,contriever,-,20,111,111,0,0.8240740740740741,0.8266765020496364,0.8266765020496364,0.8346373517498616,0.8240740740740741
9,90,factuals_only,contriever,-,20,111,111,0,0.8240740740740741,0.8266765020496364,0.8266765020496364,0.8346373517498616,0.8240740740740741
10,100,factuals_only,contriever,-,20,121,121,0,0.8425925925925926,0.8435363935363935,0.8435363935363935,0.8453445705767687,0.8425925925925926
10,100,factuals_only,contriever,-,20,121,121,0,0.8425925925925926,0.8435363935363935,0.8435363935363935,0.8453445705767687,0.8425925925925926
11,110,factuals_only,contriever,-,20,121,121,0,0.8425925925925926,0.8435363935363935,0.8435363935363935,0.8453445705767687,0.8425925925925926
11,110,factuals_only,contriever,-,20,121,121,0,0.8333333333333334,0.8346698872785829,0.8346698872785829,0.837930587930588,0.8333333333333334
