iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
1,10,full,static,-,-,39,30,9,0.9259259259259259,0.9256965944272446,0.9256965944272445,0.9312499999999999,0.9259259259259259
2,20,full,static,-,-,58,40,18,0.9351851851851852,0.9350459661482946,0.9350459661482945,0.9389484607402283,0.9351851851851851
3,30,full,static,-,-,78,50,28,0.9351851851851852,0.9350459661482946,0.9350459661482945,0.9389484607402283,0.9351851851851851
4,40,full,static,-,-,97,60,37,0.9351851851851852,0.9350459661482946,0.9350459661482945,0.9389484607402283,0.9351851851851851
5,50,full,static,-,-,117,70,47,0.9166666666666666,0.9163151097718467,0.9163151097718467,0.9237879316358563,0.9166666666666667
6,60,full,static,-,-,137,80,57,0.9351851851851852,0.9350459661482946,0.9350459661482945,0.9389484607402283,0.9351851851851851
7,70,full,static,-,-,157,90,67,0.9259259259259259,0.9256965944272446,0.9256965944272445,0.9312499999999999,0.9259259259259259
8,80,full,static,-,-,176,100,76,0.9259259259259259,0.9255172413793104,0.9255172413793104,0.935483870967742,0.9259259259259259
9,90,full,static,-,-,196,110,86,0.9351851851851852,0.9350459661482946,0.9350459661482945,0.9389484607402283,0.9351851851851851
10,100,full,static,-,-,215,120,95,0.9166666666666666,0.9163151097718467,0.9163151097718467,0.9237879316358563,0.9166666666666667
11,110,full,static,-,-,215,120,95,0.9166666666666666,0.9163151097718467,0.9163151097718467,0.9237879316358563,0.9166666666666667
1,10,factuals_only,static,-,-,30,30,0,0.9166666666666666,0.9163151097718467,0.9163151097718467,0.9237879316358563,0.9166666666666667
2,20,factuals_only,static,-,-,40,40,0,0.9537037037037037,0.9536679536679536,0.9536679536679536,0.9551083591331269,0.9537037037037037
3,30,factuals_only,static,-,-,50,50,0,0.9444444444444444,0.9443681318681318,0.944368131868132,0.9468965517241379,0.9444444444444444
4,40,factuals_only,static,-,-,60,60,0,0.9537037037037037,0.9536679536679536,0.9536679536679536,0.9551083591331269,0.9537037037037037
5,50,factuals_only,static,-,-,70,70,0,0.9444444444444444,0.9443681318681318,0.944368131868132,0.9468965517241379,0.9444444444444444
6,60,factuals_only,static,-,-,80,80,0,0.9629629629629629,0.9629502572898799,0.96295025728988,0.963598901098901,0.962962962962963
7,70,factuals_only,static,-,-,90,90,0,0.9444444444444444,0.94442538593482,0.94442538593482,0.945054945054945,0.9444444444444444
8,80,factuals_only,static,-,-,100,100,0,0.9537037037037037,0.9536679536679536,0.9536679536679536,0.9551083591331269,0.9537037037037037
