iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
1,10,full,static,-,-,46,46,0,0.8603773584905661,0.7793741555551057,0.8799969461977817,0.8066921066021929,0.7641945260374907
2,20,full,static,-,-,56,56,0,0.8754716981132076,0.7427217832956597,0.8889753136128783,0.7673173182316405,0.7319852405539882
3,30,full,static,-,-,66,66,0,0.8905660377358491,0.8011093931344736,0.9073532190331183,0.8226437434371502,0.7872110715849293
4,40,full,static,-,-,76,76,0,0.8943396226415095,0.7997440116165083,0.9055840106070148,0.8154213879417684,0.7945339146138792
5,50,full,static,-,-,90,86,4,0.8943396226415095,0.7619110529491419,0.9107392278763001,0.7799978094720084,0.7515410301912551
6,60,full,static,-,-,102,96,6,0.909433962264151,0.8134378208975335,0.9197568558067541,0.8259565737526895,0.8084212763904979
7,70,full,static,-,-,112,106,6,0.939622641509434,0.8336564284765098,0.9465546015715222,0.839715327830737,0.8310319307056233
8,80,full,static,-,-,124,116,8,0.939622641509434,0.8312176611518552,0.9430150091462767,0.8348449408468632,0.8332920986985499
9,90,full,static,-,-,134,126,8,0.9433962264150944,0.8354230098968538,0.9477614050540388,0.8397821521701907,0.8352755678156397
10,100,full,static,-,-,145,136,9,0.9471698113207547,0.8385394084830312,0.9505980798283244,0.8436305879976109,0.839200712143928
11,110,full,static,-,-,145,136,9,0.9547169811320755,0.8973510511756497,0.9567302798177653,0.8999635247311409,0.8975995335665501
1,10,factuals_only,static,-,-,46,46,0,0.8566037735849057,0.7770153326996874,0.8744974502217803,0.8045974104398017,0.7646128830354624
2,20,factuals_only,static,-,-,56,56,0,0.8641509433962264,0.7381723585983928,0.8835391432088988,0.7669432265659888,0.7233182742478756
3,30,factuals_only,static,-,-,66,66,0,0.8830188679245283,0.7981336344073852,0.9022187957152346,0.8220302304881109,0.7828237563139933
4,40,factuals_only,static,-,-,76,76,0,0.8981132075471698,0.8038165862985551,0.9101581178545076,0.8209273403227207,0.7966890870276724
5,50,factuals_only,static,-,-,86,86,0,0.9169811320754717,0.8258472605948413,0.9324320130785533,0.8418015246716535,0.8165203900150766
6,60,factuals_only,static,-,-,96,96,0,0.9207547169811321,0.824383832938158,0.9338422588449096,0.8369570974989773,0.8165609007747343
7,70,factuals_only,static,-,-,106,106,0,0.939622641509434,0.8353667809221563,0.9482245425533389,0.8444263031299476,0.830146303175259
8,80,factuals_only,static,-,-,116,116,0,0.9509433962264151,0.8412803818923253,0.9546633272101717,0.846183656955316,0.8397576159399291
9,90,factuals_only,static,-,-,126,126,0,0.969811320754717,0.9097917131586809,0.9706648461906976,0.9120770513011891,0.9095402298850573
10,100,factuals_only,static,-,-,136,136,0,0.969811320754717,0.9731064284714938,0.9693605453390838,0.9743917964487144,0.9738648532876418
11,110,factuals_only,static,-,-,136,136,0,0.9660377358490566,0.9694942700206256,0.9656442589204235,0.9714568147637327,0.9691029485257371
1,10,factuals_only,bm25,-,20,46,46,0,0.8415094339622642,0.7657814628238102,0.8647138303466457,0.8018961940836941,0.7500693177645263
1,10,factuals_only,bm25,-,20,46,46,0,0.8415094339622642,0.765541637643744,0.8644434733015502,0.8031746031746032,0.7488804590688742
2,20,factuals_only,bm25,-,20,56,56,0,0.8415094339622642,0.7624015603281238,0.8573661150193198,0.7860159043854696,0.7551833989992849
2,20,factuals_only,bm25,-,20,56,56,0,0.8377358490566038,0.7587968950439763,0.8548747418362171,0.7868877340956145,0.7494235950777164
3,30,factuals_only,bm25,-,20,66,66,0,0.8528301886792453,0.771121308531618,0.8695386092874035,0.8007419663669664,0.7607066330354624
3,30,factuals_only,bm25,-,20,66,66,0,0.8528301886792453,0.7688202648589032,0.8680110777067218,0.796910544816555,0.7596493022083947
4,40,factuals_only,bm25,-,20,76,76,0,0.8566037735849057,0.7776019068312885,0.876330693584516,0.8063322799855728,0.7632488023532802
4,40,factuals_only,bm25,-,20,76,76,0,0.8528301886792453,0.7756788299082116,0.8741245977935145,0.8055882323665252,0.7599593286690697
5,50,factuals_only,bm25,-,20,86,86,0,0.8603773584905661,0.7766646713811007,0.8776166671133462,0.7976532444271415,0.7656166344975796
5,50,factuals_only,bm25,-,20,86,86,0,0.8603773584905661,0.7792636723740884,0.8823574890934113,0.8025737605584953,0.7656058861952602
6,60,factuals_only,bm25,-,20,96,96,0,0.8943396226415095,0.8072172403181674,0.915483544579206,0.8301093524531025,0.792094357025932
6,60,factuals_only,bm25,-,20,96,96,0,0.8981132075471698,0.8088794743607206,0.9183940222989971,0.8302921009911142,0.794249529439725
7,70,factuals_only,bm25,-,20,106,106,0,0.9018867924528302,0.807796863561125,0.916669492622275,0.8224703952093658,0.8013577498830747
7,70,factuals_only,bm25,-,20,106,106,0,0.9018867924528302,0.8050996970030713,0.9150554469105422,0.8192352843915344,0.7996836427402176
8,80,factuals_only,bm25,-,20,116,116,0,0.9132075471698113,0.8136920744424648,0.924394567889652,0.8253650947305039,0.8097488973889879
8,80,factuals_only,bm25,-,20,116,116,0,0.9132075471698113,0.8138245679321081,0.92349931206622,0.8255263434405142,0.8108831986594054
9,90,factuals_only,bm25,-,20,126,126,0,0.939622641509434,0.8275805257358639,0.9421045557331585,0.8293176779189517,0.8311004666010648
9,90,factuals_only,bm25,-,20,126,126,0,0.9320754716981132,0.8214296828511501,0.9364619189353178,0.8252797887248126,0.8236443262501876
10,100,factuals_only,bm25,-,20,136,136,0,0.9320754716981132,0.8247202448114054,0.939070464448529,0.8286758750153891,0.8251761572221408
10,100,factuals_only,bm25,-,20,136,136,0,0.9283018867924528,0.8254812992331741,0.9380508264046323,0.8329341167736308,0.8230209848083477
11,110,factuals_only,bm25,-,20,136,136,0,0.9320754716981132,0.8267523183935264,0.9408015716611443,0.8334786243493884,0.8249190489341796
11,110,factuals_only,bm25,-,20,136,136,0,0.9283018867924528,0.7793391403301735,0.9386727201205282,0.7871242667673388,0.7751995332242361
1,10,full,bm25,mixed,20,46,46,0,0.8415094339622642,0.7657814628238102,0.8647138303466457,0.8018961940836941,0.7500693177645263
2,20,full,bm25,mixed,20,56,56,0,0.8339622641509434,0.754993265565178,0.8510120510961466,0.7836361283643892,0.7452569284110497
3,30,full,bm25,mixed,20,66,66,0,0.8528301886792453,0.7688202648589032,0.8680110777067218,0.796910544816555,0.7596493022083947
4,40,full,bm25,mixed,20,76,76,0,0.8603773584905661,0.7800815527891953,0.8812978893638529,0.8088197273859039,0.7643466439400056
5,50,full,bm25,mixed,20,90,86,4,0.8566037735849057,0.7751949604936319,0.8763483851049886,0.8022887332190402,0.7622433950746321
6,60,full,bm25,mixed,20,102,96,6,0.8943396226415095,0.8026099380521681,0.9102697497105046,0.8195726305106144,0.793920582071304
7,70,full,bm25,mixed,20,112,106,6,0.879245283018868,0.7948226552331092,0.8986269561748321,0.8138628468451838,0.7871483367325072
8,80,full,bm25,mixed,20,124,116,8,0.9169811320754717,0.8152644807465486,0.9250629960197856,0.8223928062323203,0.8150341693925262
9,90,full,bm25,mixed,20,134,126,8,0.9320754716981132,0.8223617348636096,0.9366520142133672,0.8249332668610162,0.8248661307614659
10,100,full,bm25,mixed,20,145,136,9,0.9245283018867925,0.7758321587899294,0.9362430592726223,0.7861576680066225,0.770444432803501
11,110,full,bm25,mixed,20,145,136,9,0.9283018867924528,0.823341276557437,0.9367356336608681,0.8296107040752181,0.8218866835379303
1,10,full,bm25,factual_anchored,20,46,46,0,0.8339622641509434,0.7165679326029473,0.8570462718922061,0.7500264058192447,0.7001555395265717
2,20,full,bm25,factual_anchored,20,56,56,0,0.8339622641509434,0.7118501245389671,0.8534611062799793,0.7472774561329549,0.6999351273518801
3,30,full,bm25,factual_anchored,20,66,66,0,0.8641509433962264,0.7733733567777825,0.880594176767287,0.8024503669284679,0.7612658870081
4,40,full,bm25,factual_anchored,20,76,76,0,0.8603773584905661,0.7706887913472877,0.8762764936877963,0.790969178014015,0.7601507420084527
5,50,full,bm25,factual_anchored,20,90,86,4,0.8905660377358491,0.803834240747419,0.9103126556082927,0.8252641438700506,0.7893769657215841
6,60,full,bm25,factual_anchored,20,102,96,6,0.9132075471698113,0.8149078682386949,0.9243644651944322,0.8256172126484627,0.8087277889831069
7,70,full,bm25,factual_anchored,20,112,106,6,0.9169811320754717,0.8201895466712021,0.9276140888082566,0.8318970517499928,0.8161684706629436
8,80,full,bm25,factual_anchored,20,124,116,8,0.9207547169811321,0.7727624268349238,0.9303827255780691,0.7827630778473263,0.7679326685162764
9,90,full,bm25,factual_anchored,20,134,126,8,0.939622641509434,0.7820957005956292,0.9454984887417178,0.7867644209508962,0.7805430362322285
10,100,full,bm25,factual_anchored,20,145,136,9,0.9547169811320755,0.8423470868587468,0.957696680502582,0.8446055182887824,0.8423872884986079
11,110,full,bm25,factual_anchored,20,145,136,9,0.9547169811320755,0.8423470868587468,0.957696680502582,0.8446055182887824,0.8423872884986079
1,10,factuals_only,contriever,-,20,46,46,0,0.8339622641509434,0.7569117781331522,0.8526573905341651,0.786672637605847,0.7459557847753818
1,10,factuals_only,contriever,-,20,46,46,0,0.8377358490566038,0.7607845280134362,0.856780554852095,0.7913053130444434,0.7492452584595923
2,20,factuals_only,contriever,-,20,56,56,0,0.8452830188679246,0.7623253000988979,0.8624725918928742,0.7896393931799942,0.7527537632532482
2,20,factuals_only,contriever,-,20,56,56,0,0.8377358490566038,0.755860100640576,0.8545479028267988,0.7827858300764311,0.7463599013606651
