iteration,budget_used,classifier_type,query_strategy,uncertainty_method,embedding_backend,cf_inclusion_strategy,k_max,target_label_strategy,labeled_pool_size,unlabeled_pool_size,total_factuals,total_cfs,num_factuals_added,num_cfs_added,cf_pass_rate,budget_remaining,alpha_cf,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,0,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,20,480,20,0,0,0,,100,1.0,0.7039473684210527,0.5676286676286676,0.6903401179716969,0.5758407382091593,0.6245895412147047
1,10,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,33,470,30,3,10,3,,90,1.0,,,,,
2,20,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,49,460,40,9,10,6,,80,1.0,,,,,
3,30,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,64,450,50,14,10,5,,70,1.0,,,,,
4,40,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,81,440,60,21,10,7,,60,1.0,,,,,
5,50,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,98,430,70,28,10,7,,50,1.0,,,,,
6,60,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,113,420,80,33,10,5,,40,1.0,,,,,
7,70,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,124,410,90,34,10,1,,30,1.0,,,,,
8,80,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,141,400,100,41,10,7,,20,1.0,,,,,
9,90,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,155,390,110,45,10,4,,10,1.0,,,,,
10,100,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,170,380,120,50,10,5,,0,1.0,,,,,
11,100,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,170,380,120,50,0,0,,0,1.0,0.8092105263157895,0.8198806709445007,0.8106879618837706,0.8492199413489736,0.8391429254772858
