iteration,budget_used,classifier_type,query_strategy,uncertainty_method,embedding_backend,cf_inclusion_strategy,k_max,target_label_strategy,labeled_pool_size,unlabeled_pool_size,total_factuals,total_cfs,num_factuals_added,num_cfs_added,cf_pass_rate,budget_remaining,alpha_cf,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,0,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,36,504,36,0,0,0,,100,1.0,0.8301886792452831,0.762663910559647,0.8570209964854087,0.8014688436563437,0.7430626323771228
1,10,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,47,494,46,1,10,1,,90,1.0,,,,,
2,20,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,59,484,56,3,10,2,,80,1.0,,,,,
3,30,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,71,474,66,5,10,2,,70,1.0,,,,,
4,40,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,82,464,76,6,10,1,,60,1.0,,,,,
5,50,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,92,454,86,6,10,0,,50,1.0,,,,,
6,60,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,104,444,96,8,10,2,,40,1.0,,,,,
7,70,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,116,434,106,10,10,2,,30,1.0,,,,,
8,80,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,128,424,116,12,10,2,,20,1.0,,,,,
9,90,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,138,414,126,12,10,0,,10,1.0,,,,,
10,100,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,148,404,136,12,10,0,,0,1.0,,,,,
11,100,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,148,404,136,12,0,0,,0,1.0,0.9433962264150944,0.8417664454208682,0.954688765775298,0.8517032551107839,0.8338862565068639
