iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
1,10,full,static,-,-,47,40,7,0.54,0.4862281695615029,0.5441379456379457,0.4954576376004947,0.48740051853936084
2,20,full,static,-,-,63,50,13,0.555,0.5002956352029787,0.5611596519689445,0.5134454434454435,0.4984753188298474
3,30,full,static,-,-,82,60,22,0.53,0.479425010754934,0.5372443135998123,0.49022284262077154,0.49092503623693906
4,40,full,static,-,-,98,70,28,0.525,0.48917265604330185,0.5342272508135811,0.5058340295182401,0.49544641000383716
5,50,full,static,-,-,115,80,35,0.53,0.48174530986494185,0.5367232503943768,0.4963969081350797,0.4902740817577517
6,60,full,static,-,-,132,90,42,0.515,0.44895505319733253,0.5202586413998954,0.4683455433455434,0.4526227588042269
7,70,full,static,-,-,149,100,49,0.535,0.4625581342972647,0.5406209249687511,0.480581652390163,0.4672220767922917
8,80,full,static,-,-,166,110,56,0.535,0.46775458117057817,0.5415217983371887,0.48707398888249953,0.4694478157746524
9,90,full,static,-,-,179,120,59,0.53,0.4542098599569864,0.5337526164767543,0.4754154747137203,0.45452934908207276
10,100,full,static,-,-,198,130,68,0.54,0.4716548246439551,0.5473939158667419,0.487090086484804,0.4777677298916679
11,110,full,static,-,-,198,130,68,0.545,0.4960781804690735,0.5503084727031778,0.506183574879227,0.499007596264115
1,10,factuals_only,static,-,-,40,40,0,0.555,0.5257121652079635,0.5597489354716245,0.5157742540582883,0.5473263796050932
2,20,factuals_only,static,-,-,50,50,0,0.56,0.5232107929774951,0.565321562389537,0.5165390572580594,0.5432695844732472
3,30,factuals_only,static,-,-,60,60,0,0.545,0.5142539866366619,0.5518155327000066,0.5276127536765833,0.5160054387683221
4,40,factuals_only,static,-,-,70,70,0,0.545,0.5086845047157279,0.5508136865659428,0.51574016563147,0.5170789760737434
5,50,factuals_only,static,-,-,80,80,0,0.545,0.4956642054109561,0.5489692947468225,0.5005745761052364,0.5018964024057065
6,60,factuals_only,static,-,-,90,90,0,0.53,0.483597780053004,0.5372142442963339,0.499451237521413,0.4872939541744845
7,70,factuals_only,static,-,-,100,100,0,0.54,0.4632400894200304,0.5429463921034717,0.46842745955064796,0.4756327679608687
