iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
1,10,full,static,-,-,31,31,0,0.8981481481481481,0.8987891335717423,0.8987891335717423,0.9035766560874164,0.8981481481481483
2,20,full,static,-,-,43,41,2,0.8611111111111112,0.8623386158116215,0.8623386158116214,0.8666912104412104,0.8611111111111112
3,30,full,static,-,-,54,51,3,0.9074074074074074,0.9077224931900334,0.9077224931900333,0.9097662255556993,0.9074074074074074
4,40,full,static,-,-,66,61,5,0.8981481481481481,0.8982456140350877,0.8982456140350876,0.9009803921568628,0.8981481481481483
5,50,full,static,-,-,77,71,6,0.8888888888888888,0.8897627594396912,0.8897627594396913,0.8989232602268213,0.888888888888889
6,60,full,static,-,-,87,81,6,0.9166666666666666,0.9170113485387278,0.917011348538728,0.9202741702741702,0.9166666666666666
7,70,full,static,-,-,98,91,7,0.8888888888888888,0.8895071542130366,0.8895071542130366,0.8930921052631579,0.8888888888888888
8,80,full,static,-,-,108,101,7,0.8888888888888888,0.8894778424190188,0.8894778424190188,0.8960667600373483,0.8888888888888888
9,90,full,static,-,-,119,111,8,0.8796296296296297,0.880607315389924,0.880607315389924,0.8856426532179761,0.8796296296296297
10,100,full,static,-,-,130,121,9,0.8888888888888888,0.889549114331723,0.889549114331723,0.8923206423206423,0.8888888888888888
11,110,full,static,-,-,130,121,9,0.8888888888888888,0.8895071542130366,0.8895071542130366,0.8930921052631579,0.8888888888888888
1,10,factuals_only,static,-,-,31,31,0,0.8888888888888888,0.8897322403784518,0.8897322403784517,0.8934704184704184,0.8888888888888888
2,20,factuals_only,static,-,-,41,41,0,0.8888888888888888,0.8896110396110396,0.8896110396110396,0.8912682031877078,0.8888888888888888
3,30,factuals_only,static,-,-,51,51,0,0.8981481481481481,0.8987134841810244,0.8987134841810244,0.9009942957311378,0.898148148148148
4,40,factuals_only,static,-,-,61,61,0,0.8981481481481481,0.8985161632220455,0.8985161632220455,0.9018640350877193,0.8981481481481483
5,50,factuals_only,static,-,-,71,71,0,0.8796296296296297,0.8802341449400273,0.8802341449400273,0.8868755835667601,0.8796296296296297
6,60,factuals_only,static,-,-,81,81,0,0.8888888888888888,0.889708279082499,0.889708279082499,0.9000738279808047,0.888888888888889
7,70,factuals_only,static,-,-,91,91,0,0.8518518518518519,0.8528592142214174,0.8528592142214173,0.8606758832565284,0.8518518518518517
8,80,factuals_only,static,-,-,101,101,0,0.8796296296296297,0.8802389499158817,0.8802389499158818,0.8891193386581939,0.8796296296296297
9,90,factuals_only,static,-,-,111,111,0,0.8703703703703703,0.87045418624366,0.8704541862436599,0.877485380116959,0.8703703703703703
10,100,factuals_only,static,-,-,121,121,0,0.8888888888888888,0.88914653784219,0.88914653784219,0.8914788914788915,0.8888888888888888
11,110,factuals_only,static,-,-,121,121,0,0.8703703703703703,0.871325995186807,0.871325995186807,0.8769236353077816,0.8703703703703703
1,10,factuals_only,bm25,-,20,31,31,0,0.8796296296296297,0.8804123006751774,0.8804123006751774,0.8888815480385248,0.8796296296296297
1,10,factuals_only,bm25,-,20,31,31,0,0.8703703703703703,0.8714232627276105,0.8714232627276105,0.8780663780663781,0.8703703703703702
2,20,factuals_only,bm25,-,20,41,41,0,0.8796296296296297,0.8804123006751774,0.8804123006751774,0.8888815480385248,0.8796296296296297
2,20,factuals_only,bm25,-,20,41,41,0,0.8796296296296297,0.8804123006751774,0.8804123006751774,0.8888815480385248,0.8796296296296297
3,30,factuals_only,bm25,-,20,51,51,0,0.8703703703703703,0.8707958941299282,0.8707958941299282,0.8781362007168458,0.8703703703703703
3,30,factuals_only,bm25,-,20,51,51,0,0.8703703703703703,0.8707958941299282,0.8707958941299282,0.8781362007168458,0.8703703703703703
4,40,factuals_only,bm25,-,20,61,61,0,0.8703703703703703,0.8705943774229795,0.8705943774229794,0.8832511947431302,0.8703703703703703
4,40,factuals_only,bm25,-,20,61,61,0,0.8703703703703703,0.8705943774229795,0.8705943774229794,0.8832511947431302,0.8703703703703703
5,50,factuals_only,bm25,-,20,71,71,0,0.8611111111111112,0.8602270157825713,0.8602270157825713,0.8735256554729172,0.8611111111111112
5,50,factuals_only,bm25,-,20,71,71,0,0.8518518518518519,0.8508402070981331,0.8508402070981332,0.8620818399044206,0.8518518518518517
6,60,factuals_only,bm25,-,20,81,81,0,0.8518518518518519,0.8508402070981331,0.8508402070981332,0.8620818399044206,0.8518518518518517
6,60,factuals_only,bm25,-,20,81,81,0,0.8611111111111112,0.8602941176470589,0.8602941176470588,0.8693181818181818,0.8611111111111112
7,70,factuals_only,bm25,-,20,91,91,0,0.8518518518518519,0.8508402070981331,0.8508402070981332,0.8620818399044206,0.8518518518518517
7,70,factuals_only,bm25,-,20,91,91,0,0.8611111111111112,0.8602941176470589,0.8602941176470588,0.8693181818181818,0.8611111111111112
8,80,factuals_only,bm25,-,20,101,101,0,0.8796296296296297,0.879315637414229,0.879315637414229,0.89175250037319,0.8796296296296297
8,80,factuals_only,bm25,-,20,101,101,0,0.8796296296296297,0.879315637414229,0.879315637414229,0.89175250037319,0.8796296296296297
9,90,factuals_only,bm25,-,20,111,111,0,0.8518518518518519,0.8506242740998838,0.8506242740998838,0.8670685665570576,0.851851851851852
9,90,factuals_only,bm25,-,20,111,111,0,0.8611111111111112,0.8602270157825713,0.8602270157825713,0.8735256554729172,0.8611111111111112
10,100,factuals_only,bm25,-,20,121,121,0,0.8518518518518519,0.8507552815631985,0.8507552815631985,0.8598077549690454,0.8518518518518517
10,100,factuals_only,bm25,-,20,121,121,0,0.8518518518518519,0.8507552815631985,0.8507552815631985,0.8598077549690454,0.8518518518518517
11,110,factuals_only,bm25,-,20,121,121,0,0.8611111111111112,0.860106339909854,0.860106339909854,0.8674595119368077,0.861111111111111
11,110,factuals_only,bm25,-,20,121,121,0,0.8611111111111112,0.860106339909854,0.860106339909854,0.8674595119368077,0.861111111111111
1,10,full,bm25,mixed,20,31,31,0,0.8796296296296297,0.8804123006751774,0.8804123006751774,0.8888815480385248,0.8796296296296297
2,20,full,bm25,mixed,20,43,41,2,0.8981481481481481,0.8986550408092057,0.8986550408092057,0.9070501526896876,0.8981481481481483
3,30,full,bm25,mixed,20,54,51,3,0.8703703703703703,0.8706575348366393,0.8706575348366393,0.8767811871667104,0.8703703703703703
4,40,full,bm25,mixed,20,66,61,5,0.8518518518518519,0.8517170246329329,0.851717024632933,0.8665264142122487,0.8518518518518517
5,50,full,bm25,mixed,20,77,71,6,0.8518518518518519,0.8508402070981331,0.8508402070981332,0.8620818399044206,0.8518518518518517
6,60,full,bm25,mixed,20,87,81,6,0.8425925925925926,0.841058072871195,0.8410580728711949,0.8589773111049707,0.8425925925925926
7,70,full,bm25,mixed,20,98,91,7,0.8611111111111112,0.8603100245612323,0.8603100245612323,0.8723905723905724,0.8611111111111112
8,80,full,bm25,mixed,20,108,101,7,0.8796296296296297,0.8793356848912404,0.8793356848912405,0.8981481481481483,0.8796296296296297
9,90,full,bm25,mixed,20,119,111,8,0.8611111111111112,0.8601546042288056,0.8601546042288055,0.8793727474886895,0.8611111111111112
10,100,full,bm25,mixed,20,130,121,9,0.8611111111111112,0.8602941176470589,0.8602941176470588,0.8693181818181818,0.8611111111111112
11,110,full,bm25,mixed,20,130,121,9,0.8518518518518519,0.8508402070981331,0.8508402070981332,0.8620818399044206,0.8518518518518517
1,10,full,bm25,factual_anchored,20,31,31,0,0.8796296296296297,0.8793274358491749,0.8793274358491749,0.8830775473530137,0.8796296296296297
2,20,full,bm25,factual_anchored,20,43,41,2,0.8888888888888888,0.8886777684812825,0.8886777684812825,0.8968712766426901,0.888888888888889
3,30,full,bm25,factual_anchored,20,54,51,3,0.8796296296296297,0.8792746348301904,0.8792746348301903,0.893133498610172,0.8796296296296297
4,40,full,bm25,factual_anchored,20,66,61,5,0.8518518518518519,0.8508402070981331,0.8508402070981332,0.8620818399044206,0.8518518518518517
5,50,full,bm25,factual_anchored,20,77,71,6,0.8518518518518519,0.8515069579638043,0.8515069579638043,0.861029651352232,0.8518518518518517
6,60,full,bm25,factual_anchored,20,87,81,6,0.8611111111111112,0.8603100245612323,0.8603100245612323,0.8723905723905724,0.8611111111111112
7,70,full,bm25,factual_anchored,20,98,91,7,0.8796296296296297,0.8792568542568543,0.8792568542568543,0.8899881164587047,0.8796296296296297
8,80,full,bm25,factual_anchored,20,108,101,7,0.8796296296296297,0.879315637414229,0.879315637414229,0.89175250037319,0.8796296296296297
9,90,full,bm25,factual_anchored,20,119,111,8,0.8796296296296297,0.8792568542568543,0.8792568542568543,0.8899881164587047,0.8796296296296297
10,100,full,bm25,factual_anchored,20,130,121,9,0.8703703703703703,0.8697853271894743,0.8697853271894743,0.8854497354497354,0.8703703703703703
11,110,full,bm25,factual_anchored,20,130,121,9,0.8703703703703703,0.8697853271894743,0.8697853271894743,0.8854497354497354,0.8703703703703703
1,10,factuals_only,contriever,-,20,31,31,0,0.8425925925925926,0.8420663026507045,0.8420663026507045,0.8483358934971837,0.8425925925925926
1,10,factuals_only,contriever,-,20,31,31,0,0.8425925925925926,0.8420663026507045,0.8420663026507045,0.8483358934971837,0.8425925925925926
2,20,factuals_only,contriever,-,20,41,41,0,0.8518518518518519,0.8521495936364897,0.8521495936364898,0.8619785898855666,0.8518518518518517
