iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
1,10,full,static,-,-,34,30,4,0.61,0.5960542357441583,0.5960542357441583,0.5965030231404131,0.61
2,20,full,static,-,-,51,40,11,0.57,0.5488464313167739,0.5488464313167739,0.5537825042692874,0.57
3,30,full,static,-,-,67,50,17,0.6,0.5784453687311736,0.5784453687311735,0.5828473920585603,0.6
4,40,full,static,-,-,86,60,26,0.575,0.5508316445459303,0.5508316445459303,0.5641333838575218,0.575
5,50,full,static,-,-,101,70,31,0.585,0.5628118139451284,0.5628118139451285,0.5740855635592478,0.585
6,60,full,static,-,-,119,80,39,0.59,0.5685552255700171,0.5685552255700173,0.579703899246549,0.5900000000000001
7,70,full,static,-,-,136,90,46,0.595,0.5737449594595184,0.5737449594595185,0.5965209261398009,0.595
8,80,full,static,-,-,152,100,52,0.59,0.5694882512768887,0.5694882512768887,0.5795609205241776,0.5900000000000001
9,90,full,static,-,-,166,110,56,0.6,0.5793220721674217,0.5793220721674216,0.5866539667229322,0.6
10,100,full,static,-,-,183,120,63,0.585,0.5730550216515129,0.5730550216515129,0.5774268292682927,0.585
11,110,full,static,-,-,183,120,63,0.595,0.5802406385117551,0.580240638511755,0.5865552066980639,0.595
1,10,factuals_only,static,-,-,30,30,0,0.595,0.578821736111718,0.5788217361117179,0.5803334162417609,0.595
2,20,factuals_only,static,-,-,40,40,0,0.59,0.5769797803228894,0.5769797803228894,0.5862913757862617,0.5900000000000001
3,30,factuals_only,static,-,-,50,50,0,0.61,0.590029395210849,0.590029395210849,0.5983457533956978,0.61
4,40,factuals_only,static,-,-,60,60,0,0.62,0.5995643795101202,0.5995643795101201,0.6073799075694352,0.6199999999999999
5,50,factuals_only,static,-,-,70,70,0,0.575,0.5555403722287464,0.5555403722287463,0.5769552850153601,0.575
6,60,factuals_only,static,-,-,80,80,0,0.61,0.5867875759806725,0.5867875759806725,0.6002308531027672,0.61
7,70,factuals_only,static,-,-,90,90,0,0.615,0.596832448193273,0.596832448193273,0.6033834104492,0.615
8,80,factuals_only,static,-,-,100,100,0,0.605,0.5868984879854444,0.5868984879854444,0.5996947954594132,0.6050000000000001
9,90,factuals_only,static,-,-,110,110,0,0.59,0.5680188583715194,0.5680188583715196,0.5825626370000236,0.5900000000000001
10,100,factuals_only,static,-,-,120,120,0,0.615,0.59923397338011,0.59923397338011,0.6050925925925926,0.615
11,110,factuals_only,static,-,-,120,120,0,0.595,0.5770519244834313,0.5770519244834313,0.5878161509235679,0.595
1,10,factuals_only,bm25,-,20,30,30,0,0.605,0.5949528507668043,0.5949528507668043,0.6029181355268312,0.605
1,10,factuals_only,bm25,-,20,30,30,0,0.61,0.5994983053122589,0.5994983053122588,0.6070848021934978,0.61
2,20,factuals_only,bm25,-,20,40,40,0,0.615,0.6040247678018577,0.6040247678018577,0.6043650793650793,0.615
2,20,factuals_only,bm25,-,20,40,40,0,0.605,0.5925089108236292,0.5925089108236294,0.5932034548236639,0.605
3,30,factuals_only,bm25,-,20,50,50,0,0.59,0.5743681402108368,0.5743681402108368,0.5793529554114135,0.59
3,30,factuals_only,bm25,-,20,50,50,0,0.595,0.5797762068712915,0.5797762068712915,0.5835454545454546,0.595
4,40,factuals_only,bm25,-,20,60,60,0,0.575,0.5491911741226809,0.5491911741226809,0.5554896898167088,0.575
4,40,factuals_only,bm25,-,20,60,60,0,0.585,0.5623457745262257,0.5623457745262256,0.5673038919136923,0.5850000000000001
5,50,factuals_only,bm25,-,20,70,70,0,0.585,0.5661249963913338,0.5661249963913337,0.5693903950285748,0.5850000000000001
5,50,factuals_only,bm25,-,20,70,70,0,0.585,0.5628908661831977,0.5628908661831978,0.567054802782357,0.585
6,60,factuals_only,bm25,-,20,80,80,0,0.61,0.5834062634256568,0.5834062634256569,0.5965541464314598,0.61
6,60,factuals_only,bm25,-,20,80,80,0,0.615,0.5893596461812838,0.5893596461812838,0.601767932861902,0.615
7,70,factuals_only,bm25,-,20,90,90,0,0.6,0.5794416721927338,0.5794416721927337,0.5913691221863646,0.6
7,70,factuals_only,bm25,-,20,90,90,0,0.605,0.5855558432178152,0.5855558432178151,0.5965982459981511,0.6050000000000001
8,80,factuals_only,bm25,-,20,100,100,0,0.605,0.5857991285970053,0.5857991285970052,0.5922315790018342,0.605
8,80,factuals_only,bm25,-,20,100,100,0,0.61,0.5913468440394576,0.5913468440394576,0.5972773306358212,0.61
9,90,factuals_only,bm25,-,20,110,110,0,0.62,0.6045606749670286,0.6045606749670286,0.6160715197956577,0.6199999999999999
9,90,factuals_only,bm25,-,20,110,110,0,0.605,0.5876158746648403,0.5876158746648403,0.5989071675441833,0.6050000000000001
10,100,factuals_only,bm25,-,20,120,120,0,0.58,0.5602835226343843,0.5602835226343843,0.5691782933269002,0.58
10,100,factuals_only,bm25,-,20,120,120,0,0.58,0.5621297281033801,0.5621297281033801,0.5706447278211983,0.58
11,110,factuals_only,bm25,-,20,120,120,0,0.59,0.5722439849109504,0.5722439849109504,0.5841093633071855,0.5900000000000001
11,110,factuals_only,bm25,-,20,120,120,0,0.585,0.568042678970514,0.5680426789705141,0.5786103254957744,0.5850000000000001
1,10,full,bm25,mixed,20,34,30,4,0.605,0.5929496764652842,0.5929496764652842,0.5926006309447567,0.605
2,20,full,bm25,mixed,20,51,40,11,0.615,0.6016301915252292,0.6016301915252291,0.6038644349585116,0.615
3,30,full,bm25,mixed,20,67,50,17,0.595,0.5772626097914368,0.5772626097914367,0.5837031522837974,0.595
4,40,full,bm25,mixed,20,86,60,26,0.575,0.5521302976500285,0.5521302976500286,0.5596601660767159,0.575
5,50,full,bm25,mixed,20,101,70,31,0.575,0.5530528786230018,0.5530528786230018,0.5586463053854358,0.575
6,60,full,bm25,mixed,20,119,80,39,0.57,0.5480833118661209,0.5480833118661209,0.55659782507668,0.5700000000000001
7,70,full,bm25,mixed,20,136,90,46,0.59,0.5728037403596163,0.5728037403596162,0.5765252525252524,0.59
8,80,full,bm25,mixed,20,152,100,52,0.595,0.5757114223731371,0.5757114223731371,0.5837640556508481,0.595
9,90,full,bm25,mixed,20,166,110,56,0.58,0.5616681716587575,0.5616681716587574,0.5686300686951304,0.58
10,100,full,bm25,mixed,20,183,120,63,0.565,0.5415469425443225,0.5415469425443226,0.5514194005705042,0.5650000000000001
11,110,full,bm25,mixed,20,183,120,63,0.575,0.5545616163929127,0.5545616163929128,0.5682299594720742,0.575
1,10,full,bm25,factual_anchored,20,34,30,4,0.59,0.5752597355777109,0.5752597355777109,0.5775662740601766,0.5900000000000001
2,20,full,bm25,factual_anchored,20,51,40,11,0.585,0.5688977338096597,0.5688977338096598,0.5749093635000682,0.585
3,30,full,bm25,factual_anchored,20,67,50,17,0.585,0.569173885542997,0.569173885542997,0.5737605725439168,0.585
4,40,full,bm25,factual_anchored,20,86,60,26,0.575,0.5581811429708946,0.5581811429708946,0.5664216524216524,0.575
5,50,full,bm25,factual_anchored,20,101,70,31,0.57,0.5485481236696199,0.5485481236696199,0.5546990643764838,0.57
6,60,full,bm25,factual_anchored,20,119,80,39,0.585,0.5608093951829342,0.5608093951829342,0.568715514930822,0.585
7,70,full,bm25,factual_anchored,20,136,90,46,0.59,0.5697716080674634,0.5697716080674635,0.5742659301482831,0.5900000000000001
8,80,full,bm25,factual_anchored,20,152,100,52,0.59,0.5715863661428177,0.5715863661428178,0.5784239490235021,0.5900000000000001
9,90,full,bm25,factual_anchored,20,166,110,56,0.59,0.5707414753470179,0.570741475347018,0.5753321531012533,0.5900000000000001
10,100,full,bm25,factual_anchored,20,183,120,63,0.57,0.549409928976441,0.549409928976441,0.5592168529426168,0.57
11,110,full,bm25,factual_anchored,20,183,120,63,0.57,0.5497498718072247,0.5497498718072247,0.5565967302226531,0.5700000000000001
1,10,factuals_only,contriever,-,20,30,30,0,0.585,0.5643270052186933,0.5643270052186932,0.5673037372372921,0.585
1,10,factuals_only,contriever,-,20,30,30,0,0.58,0.5591262625384629,0.5591262625384629,0.5623076923076924,0.5800000000000001
2,20,factuals_only,contriever,-,20,40,40,0,0.605,0.587343138362861,0.587343138362861,0.5946919419568857,0.6050000000000001
2,20,factuals_only,contriever,-,20,40,40,0,0.595,0.5779707075599013,0.5779707075599013,0.5858484045419197,0.595
3,30,factuals_only,contriever,-,20,50,50,0,0.6,0.5854048751957392,0.5854048751957392,0.5915252639517345,0.6
3,30,factuals_only,contriever,-,20,50,50,0,0.595,0.5814488624633551,0.5814488624633553,0.5897406191369606,0.595
4,40,factuals_only,contriever,-,20,60,60,0,0.605,0.5859808034579201,0.5859808034579203,0.5953067765567767,0.605
4,40,factuals_only,contriever,-,20,60,60,0,0.61,0.5919951875809841,0.5919951875809842,0.5999889194006841,0.61
5,50,factuals_only,contriever,-,20,70,70,0,0.58,0.5606909574320296,0.5606909574320295,0.5724087931635101,0.58
5,50,factuals_only,contriever,-,20,70,70,0,0.58,0.5606909574320296,0.5606909574320295,0.5724087931635101,0.58
6,60,factuals_only,contriever,-,20,80,80,0,0.605,0.5811942454139626,0.5811942454139626,0.5952418271383789,0.6050000000000001
6,60,factuals_only,contriever,-,20,80,80,0,0.61,0.5877824618632708,0.5877824618632708,0.6008689860863774,0.61
7,70,factuals_only,contriever,-,20,90,90,0,0.61,0.5939644552977887,0.5939644552977886,0.600094649949057,0.61
7,70,factuals_only,contriever,-,20,90,90,0,0.595,0.5778618933300287,0.5778618933300287,0.58410491469315,0.595
8,80,factuals_only,contriever,-,20,100,100,0,0.6,0.5841035767642925,0.5841035767642925,0.5915463355153382,0.6
8,80,factuals_only,contriever,-,20,100,100,0,0.6,0.5821157233812467,0.5821157233812467,0.5888484245139297,0.6
9,90,factuals_only,contriever,-,20,110,110,0,0.575,0.5585057403821706,0.5585057403821706,0.5679553482682163,0.575
9,90,factuals_only,contriever,-,20,110,110,0,0.575,0.5583114901879205,0.5583114901879205,0.5658427779117435,0.575
10,100,factuals_only,contriever,-,20,120,120,0,0.6,0.5813749604779472,0.5813749604779471,0.5906164184431494,0.6
10,100,factuals_only,contriever,-,20,120,120,0,0.605,0.5871865794744904,0.5871865794744904,0.5982245111210629,0.6049999999999999
11,110,factuals_only,contriever,-,20,120,120,0,0.595,0.5767336951420801,0.5767336951420801,0.5854476427940664,0.595
11,110,factuals_only,contriever,-,20,120,120,0,0.605,0.5868748516978257,0.5868748516978257,0.5944277999140591,0.6050000000000001
1,10,full,contriever,mixed,20,34,30,4,0.565,0.5462674617011669,0.5462674617011669,0.5490505577462098,0.5650000000000001
2,20,full,contriever,mixed,20,51,40,11,0.585,0.5663072808002996,0.5663072808002996,0.5687929270240591,0.585
3,30,full,contriever,mixed,20,67,50,17,0.615,0.5977116711540044,0.5977116711540043,0.6012334727096104,0.615
4,40,full,contriever,mixed,20,86,60,26,0.585,0.5698841633781393,0.5698841633781392,0.5710191518467852,0.585
5,50,full,contriever,mixed,20,101,70,31,0.605,0.5924265384730502,0.59242653847305,0.5976234984112223,0.6050000000000001
6,60,full,contriever,mixed,20,119,80,39,0.585,0.5729382786385597,0.5729382786385598,0.5762706071834991,0.585
7,70,full,contriever,mixed,20,136,90,46,0.575,0.5618866408023034,0.5618866408023034,0.5660795713634291,0.575
8,80,full,contriever,mixed,20,152,100,52,0.605,0.593229415546612,0.5932294155466121,0.5974341121518822,0.6050000000000001
9,90,full,contriever,mixed,20,166,110,56,0.6,0.5897298668173848,0.5897298668173847,0.5945952380952381,0.6
10,100,full,contriever,mixed,20,183,120,63,0.61,0.5970375471685058,0.5970375471685058,0.6053309481216458,0.61
11,110,full,contriever,mixed,20,183,120,63,0.605,0.5931988361064999,0.5931988361064999,0.5999627090979761,0.605
1,10,full,contriever,factual_anchored,20,34,30,4,0.565,0.5462674617011669,0.5462674617011669,0.5490505577462098,0.5650000000000001
2,20,full,contriever,factual_anchored,20,51,40,11,0.58,0.560438632878719,0.560438632878719,0.5637066185345875,0.5800000000000001
3,30,full,contriever,factual_anchored,20,67,50,17,0.615,0.5977116711540044,0.5977116711540043,0.6012334727096104,0.615
4,40,full,contriever,factual_anchored,20,86,60,26,0.6,0.5845596895596895,0.5845596895596895,0.5874385026737968,0.6
5,50,full,contriever,factual_anchored,20,101,70,31,0.605,0.5924265384730502,0.59242653847305,0.5976234984112223,0.6050000000000001
6,60,full,contriever,factual_anchored,20,119,80,39,0.585,0.5726496942976343,0.5726496942976343,0.5765158956640818,0.585
7,70,full,contriever,factual_anchored,20,136,90,46,0.58,0.5682457967935804,0.5682457967935806,0.5738155331316489,0.58
8,80,full,contriever,factual_anchored,20,152,100,52,0.61,0.5984443338290374,0.5984443338290375,0.602455266955267,0.61
9,90,full,contriever,factual_anchored,20,166,110,56,0.605,0.5951481321640099,0.5951481321640099,0.5995474908366895,0.605
10,100,full,contriever,factual_anchored,20,183,120,63,0.605,0.5938890254444606,0.5938890254444606,0.5985632356699389,0.605
11,110,full,contriever,factual_anchored,20,183,120,63,0.605,0.5933262707951009,0.5933262707951009,0.5982809252733352,0.605
1,10,factuals_only,bge_large,-,20,30,30,0,0.575,0.560909648590808,0.560909648590808,0.5665403422428874,0.575
1,10,factuals_only,bge_large,-,20,30,30,0,0.57,0.5582750495229469,0.5582750495229469,0.5639812662653714,0.5700000000000001
2,20,factuals_only,bge_large,-,20,40,40,0,0.6,0.588670356685812,0.5886703566858121,0.5954653682176028,0.6
2,20,factuals_only,bge_large,-,20,40,40,0,0.61,0.597618601153969,0.597618601153969,0.60074568288854,0.61
3,30,factuals_only,bge_large,-,20,50,50,0,0.59,0.5704148143690884,0.5704148143690883,0.5662343220689086,0.59
