iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
1,10,full,static,-,-,35,30,5,0.7302631578947368,0.5888386045738189,0.7238488828537947,0.589474358974359,0.6397276270065702
2,20,full,static,-,-,48,40,8,0.75,0.6014710141879994,0.7482860781231883,0.5995238095238096,0.6524993317294842
3,30,full,static,-,-,60,50,10,0.7236842105263158,0.5827199725304849,0.718791541984712,0.5845718791636076,0.6362188550767456
4,40,full,static,-,-,73,60,13,0.743421052631579,0.595942052007053,0.7406193906565216,0.598232228476131,0.6478875617270923
5,50,full,static,-,-,87,70,17,0.7302631578947368,0.5872728861213922,0.7264580060563144,0.5887877840316864,0.6397276270065702
1,10,factuals_only,static,-,-,30,30,0,0.7171052631578947,0.5754547043032103,0.7130907811759316,0.5766510318949344,0.6281799124917347
2,20,factuals_only,static,-,-,40,40,0,0.7236842105263158,0.5801070902908186,0.724691688014382,0.5850029815146095,0.6339340733549993
3,30,factuals_only,static,-,-,50,50,0,0.7236842105263158,0.5813505747126436,0.7217020190562614,0.5843933843933844,0.6350764642158725
4,40,factuals_only,static,-,-,60,60,0,0.7302631578947368,0.5852977880702552,0.728031251648715,0.5852467385138967,0.638585236145697
5,50,factuals_only,static,-,-,70,70,0,0.743421052631579,0.5955931926035019,0.7379047382201207,0.5927392061714569,0.6467451708662193
1,10,factuals_only,bm25,-,20,30,30,0,0.7236842105263158,0.5802145082277054,0.7180931084956137,0.5797157190635451,0.6328310752824322
2,20,factuals_only,bm25,-,20,40,40,0,0.7368421052631579,0.5916979809924233,0.7350958289406104,0.5929756762428344,0.6420940080755216
3,30,factuals_only,bm25,-,20,50,50,0,0.7105263157894737,0.571337803228684,0.7052834526533883,0.5743297007438158,0.6280589203562233
4,40,factuals_only,bm25,-,20,60,60,0,0.7236842105263158,0.5810526315789474,0.718005540166205,0.579709707985184,0.6350764642158725
5,50,factuals_only,bm25,-,20,70,70,0,0.7236842105263158,0.5825625564866163,0.718785777793177,0.5832412952736512,0.630546293560686
6,60,factuals_only,bm25,-,20,70,70,0,0.7236842105263158,0.5825625564866163,0.718785777793177,0.5832412952736512,0.630546293560686
1,10,full,bm25,mixed,20,35,30,5,0.7171052631578947,0.5796019114984632,0.7113483379647172,0.5823589743589743,0.6315676922860479
2,20,full,bm25,mixed,20,48,40,8,0.7171052631578947,0.5773369286081151,0.7124333488768146,0.5777194079633103,0.6315676922860479
3,30,full,bm25,mixed,20,60,50,10,0.7302631578947368,0.587116564818167,0.7264056812039872,0.5880602006688963,0.638585236145697
4,40,full,bm25,mixed,20,73,60,13,0.7368421052631579,0.5916559014361741,0.7344596601220922,0.5910733452593917,0.6409516172146484
5,50,full,bm25,mixed,20,87,70,17,0.75,0.6024191189584448,0.744735481024659,0.6003505933691661,0.6502539427960438
6,60,full,bm25,mixed,20,87,70,17,0.75,0.6024191189584448,0.744735481024659,0.6003505933691661,0.6502539427960438
1,10,full,bm25,factual_anchored,20,35,30,5,0.7302631578947368,0.58924704872092,0.7254866242052146,0.587962962962963,0.6419730159400104
2,20,full,bm25,factual_anchored,20,48,40,8,0.7171052631578947,0.5766067448134151,0.711524320511292,0.5808604336043361,0.632710083146921
3,30,full,bm25,factual_anchored,20,60,50,10,0.7236842105263158,0.5815063520871144,0.7192264065335753,0.5829575712330473,0.6350764642158725
4,40,full,bm25,factual_anchored,20,73,60,13,0.7302631578947368,0.5857566399257707,0.7252794736454359,0.5850199076286032,0.6351974563513838
5,50,full,bm25,factual_anchored,20,87,70,17,0.7368421052631579,0.5919411148928241,0.7314388783168234,0.5912929623567921,0.6432363989363946
