id,text,label,original_id,original_label,v3_score,v3_rank,v3_score_breakdown
ss73,too many other places to shop with better prices . ,price,,,,,
ss104,the food and drinks are priced well . ,price,,,,,
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,,,,,
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,,,,,
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment,,,,,
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service,,,,,
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price,,,,,
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,,,,,
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service,,,,,
ss374,the black eyes peas and cornbread are delicious ! ,products,,,,,
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,,,,,
ss388,environment was lively and diverse . ,environment,,,,,
ss394,a manager so disrespectful what a shame ,service,,,,,
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price,,,,,
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment,,,,,
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service,,,,,
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price,,,,,
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service,,,,,
ss491,the environment was super sweet and people were nice ,environment,,,,,
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment,,,,,
ss462,"however , once our dinner came i thought the food was average at best . ",products,,,,,
ss181,really nice . quiet . reliably friendly . inexpensive . a place to think or reconnect with good friends . patio can be hot . great waitress . ,environment,,,,,
ss98,  it 's so peaceful and they have the best music ! ,environment,,,,,
ss237,"the staff really was engaging , and helped me , a novice , choose paints , brushes , talked with me about techniques , and told me where to go for more information ",service,,,,,
ss453,are they still open ? no web site and the phone number does n't work . ,service,,,,,
ss380,hence the food is way too pricey for what 's offered ,price,,,,,
ss405,great pad thai with tofu . will be definitely coming back for more . amazing customer service . ,products,,,,,
ss379,"they are kind , polite , and take the time to explain everything ",service,,,,,
ss310,best peanut butter ever .   i have a full blow addiction . try the cheesecake cone too . hell try all the flavors . ,products,,,,,
ss138,i still believe he did n't want to help to sit us together and used poor judgement setting up the tables ,service,,,,,
ss462_cf_price_0,"however , once our dinner came i thought the cost was average at best .",price,ss462,products,1.4166666666666667,1.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.8018659353256226}"
ss181_cf_service_0,really nice . attentive . reliably friendly . inexpensive . a place to think or reconnect with good friends . patio can be hot . great waitress .,service,ss181,environment,1.4166666666666667,2.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.964572548866272}"
ss98_cf_price_0,it 's so affordable and they have the best deals !,price,ss98,environment,1.4166666666666667,3.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.27107810974121094}"
ss237_cf_price_1,"the staff really was expensive, and helped me, a novice, choose paints, brushes, talked with me about techniques, and told me where to go for more information",price,ss237,service,1.4166666666666667,4.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.9493261575698853}"
ss453_cf_price_0,are they still open ? no web site and the the cost does n't work .,price,ss453,service,1.4166666666666667,5.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.8677039742469788}"
ss405_cf_environment_1,great forest with wildlife. will be definitely coming back for more. amazing natural beauty.,environment,ss405,products,1.4166666666666667,6.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.30812907218933105}"
ss379_cf_price_0,"they are fair, reasonable, and take the time to explain all costs",price,ss379,service,1.4166666666666667,7.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.43168312311172485}"
ss310_cf_environment_0,best natural habitat ever. i have a full blow addiction. try the forest too. hell try all the ecosystems.,environment,ss310,products,1.4166666666666667,8.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.20702587068080902}"
ss3,the service is extremely friendly . ,service,,,,,
ss364,  they take their time to serve you have no problem showing you around . ,service,,,,,
ss55,reat product for the money ! ! if you ever have a problem   do n't fret . customer service is a+ ! definitely would recommend this company ! ! ! ,products,,,,,
ss128,the product itself is a repellent combination of over intense flavours ,products,,,,,
ss210,my favorite is the jamaican black pepper shrimp ! i love the lemon cream cake too ,products,,,,,
ss492,"friendly w / great customer service , reasonable prices , and a chill atmosphere ",environment,,,,,
ss173,the dudes working were very helpful and nice . ,service,,,,,
ss28,"the rice "" bun "" will definitely fall apart on you . ",products,,,,,
ss244,burgers were great and they had a large variety . ,products,,,,,
ss20,she even stayed with me after closing to make sure i got everything i needed ,service,,,,,
ss3_cf_environment_0,the surroundings are extremely friendly .,environment,ss3,service,1.4166666666666667,1.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.6280098557472229}"
ss364_cf_price_1,they take their time to bill you have no problem showing you the charges.,price,ss364,service,1.4166666666666667,2.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.5924335718154907}"
ss55_cf_price_0,"Great value for the money! If you ever have a problem, don't fret. Customer service is A+! Definitely would recommend this company!",price,ss55,products,1.4166666666666667,3.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.7509673833847046}"
ss128_cf_environment_0,the habitat itself is a repellent combination of over intense flavours,environment,ss128,products,1.4166666666666667,4.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.7848597168922424}"
ss173_cf_price_0,the dudes working were very affordable and nice .,price,ss173,service,1.4166666666666667,5.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.747337281703949}"
ss28_cf_price_0,"the rice "" bun "" will definitely fall apart on your wallet.",price,ss28,products,1.4166666666666667,6.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.8907411694526672}"
ss244_cf_price_1,"The cost of the burgers was great, and they had a large variety of options.",price,ss244,products,1.4166666666666667,7.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.8703139424324036}"
ss223,we also ordered the parm chicken bites which were horrible and tasted like they were frozen and microwaved . ,products,,,,,
ss279,"atmosphere is amazing , workers are always friendly . ",environment,,,,,
ss350,"great chicken , but go during a weekday lunch time to avoid the crowds ",products,,,,,
ss1,the chicken biscuit with the pepper jam is a must have . ,products,,,,,
ss458,they have added some new smoothie flavors but i still stick to my standard . ,products,,,,,
ss346,great local restaurant to hang out with friends and have a decent meal .   we like the bar side for the atmosphere .   great burgers . ,environment,,,,,
ss201,i love their location in la and was hoping to get the great service i usually get when i shop over there . ,service,,,,,
ss247,fairly good burgers   but a little too well done . ca nt believe you ca n't order medium rare . why ? ,products,,,,,
ss187,sam the owner makes everyone feel at home and well - fed at umpa 's ,service,,,,,
ss275,the flavors were not the best and the froyo itself was watery . ,products,,,,,
ss279_cf_products_0,"design is amazing, features are always friendly.",products,ss279,environment,1.4166666666666667,1.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.5327845215797424}"
ss350_cf_environment_1,"great forest, but go during a weekday lunch time to avoid the crowds",environment,ss350,products,1.4166666666666667,2.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.5586825013160706}"
ss1_cf_environment_1,the forest's quiet with the morning dew is a must have.,environment,ss1,products,1.4166666666666667,3.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.14639484882354736}"
ss201_cf_price_0,i love their location in la and was hoping to get the great value i usually get when i shop over there .,price,ss201,service,1.4166666666666667,4.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.8990652561187744}"
ss247_cf_environment_0,fairly good air quality but a little too polluted. can't believe you can't find pristine natural areas. why?,environment,ss247,products,1.4166666666666667,5.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.19370120763778687}"
ss187_cf_price_1,sam the owner offers everyone great value and well - fed at umpa 's,price,ss187,service,1.4166666666666667,6.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.8811861276626587}"
ss275_cf_service_0,the interactions were not the best and the attention itself was watery.,service,ss275,products,1.4166666666666667,7.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.4310588538646698}"
ss169,super friendly and fantabulous staff ! i believe its the team that makes this place so cool and friendly . ,service,,,,,
ss255,have not purchased fresh seafood here before but it 's available if you want it . ,products,,,,,
ss165,today we waited over ten minutes behind one car in the drive thru for their single order ,service,,,,,
ss171,the guy told me if i buy a $ 5 sub then i get less vegetables than an $ 8 sub . ,price,,,,,
ss354,never had better . lamb hummous salad rice all delicious . ,products,,,,,
ss447,he df maple roundie is the worst thing i ever ate . too heavy and way too much nutmeg leaving a film on my mouth . ,products,,,,,
ss248,i bought a living social deal $ 30 for $ 60 awhile back . ,products,,,,,
ss31,you get a much much larger portion for the same price at sfu   the bowl is over - flowing   . ,price,,,,,
ss151,"good service , had omelette and guava pastry , highly recommend ",products,,,,,
ss455,it was clear that she was more concerned with being right than being helpful . ,service,,,,,
ss169_cf_products_0,super friendly and fantabulous items ! i believe its the collection that makes this place so cool and friendly .,products,ss169,service,1.4166666666666667,1.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.6902850866317749}"
ss255_cf_price_0,have not encountered the cost of fresh seafood here before but it 's obtainable if you want it .,price,ss255,products,1.4166666666666667,2.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.8471586108207703}"
ss165_cf_price_1,today we paid over ten dollars for a single item behind one car in the drive thru ,price,ss165,service,1.4166666666666667,3.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.6355346441268921}"
ss354_cf_price_2,never had better value. lamb hummous salad rice all delicious.,price,ss354,products,1.4166666666666667,4.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.9038941860198975}"
ss447_cf_environment_1,The clear-cut maple forest is the worst thing I ever saw. Too much erosion and far too many lost habitats leaving a scar on the land.,environment,ss447,products,1.4166666666666667,5.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.3907631039619446}"
ss31_cf_products_2,you get a much much larger portion at sfu   the bowl is over - flowing   .,products,ss31,price,1.4166666666666667,6.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.914612889289856}"
ss151_cf_price_2,"good service , had omelette and guava pastry for a good deal, highly recommend",price,ss151,products,1.4166666666666667,7.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.9732967615127563}"
ss121,"the restaurant is inside an old style passenger train , which gives it more character . ",environment,,,,,
ss81,i had the pho real and it was one of the best sandwiches of my life . ,products,,,,,
ss290,i like their outdoor seating in the front with sun . ,environment,,,,,
ss99,they should make it easier to make a reservation online ! ,service,,,,,
ss25,"not only do these wonderful people create food to come back for again and again , but the price is right ! ",service,,,,,
ss338,sushi menu was pretty standard and the flavor was nothing special . ,products,,,,,
ss235,the young guys that worked on the house were very professional and polite . ,service,,,,,
ss426,over charge and unfriendly when you ask about one thing or another 's price being too excessive or not on par with the local market ,service,,,,,
ss283,"i assumed because they are located next to intel ,    they figured they could charge a ridiculous price for a style . ",price,,,,,
ss97,never a disappointment ! mellow balls beer cheese and good pizza ! get the holy shiitake you wo n't regret it ! ,products,,,,,
ss338_cf_environment_0,sushi menu was pretty standard and the scenery was nothing special .,environment,ss338,products,1.4166666666666667,1.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.9046015739440918}"
