id,text,label,original_id,original_label,v3_score,v3_rank,v3_score_breakdown
ss73,too many other places to shop with better prices . ,price,,,,,
ss104,the food and drinks are priced well . ,price,,,,,
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,,,,,
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,,,,,
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment,,,,,
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service,,,,,
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price,,,,,
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,,,,,
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service,,,,,
ss374,the black eyes peas and cornbread are delicious ! ,products,,,,,
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,,,,,
ss388,environment was lively and diverse . ,environment,,,,,
ss394,a manager so disrespectful what a shame ,service,,,,,
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price,,,,,
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment,,,,,
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service,,,,,
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price,,,,,
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service,,,,,
ss491,the environment was super sweet and people were nice ,environment,,,,,
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment,,,,,
ss202,truly amazing place !   excellent food awesome activities so peaceful and very environmentally friendly . the staff was truly amazing as well . i ca n't even come up with a negative comment … ,environment,,,,,
ss499,"the doctor does not seem to be very knowledgeable , their treatment did not work . ",service,,,,,
ss182,the 45 minutes wait was 45 minutes too long . ,service,,,,,
ss154,some of the items they sale here are a bit over priced ,price,,,,,
ss156,truly incredible and such reasonable pricing . ,price,,,,,
ss157,the food quality is average and their service is slower than slow ,service,,,,,
ss158,perfect little spot with healthy options and everything was so delicious . ,environment,,,,,
ss159,the order is always ready on time and the staff are friendly . ,service,,,,,
ss160,first time having an affogato and it was amazing ! ! ! i had it with their pistachio gelato perfect combo imho ! !   my wife had the strawberry sorbet and loved it . ,products,,,,,
ss161,"always helpful , always wonderful , always available . ",service,,,,,
ss202_cf_products_0,truly amazing place !  excellent food awesome activities so peaceful and very product-friendly . the staff was truly amazing as well . i ca n't even come up with a negative comment … ,products,ss202,environment,1.4166666666666667,1.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.9785967469215393}"
ss182_cf_products_0,The 45 minutes wait was too long for a product.,products,ss182,service,1.4166666666666667,2.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.8753505349159241}"
ss159_cf_price_2,the order is always priced on time and the staff are friendly.,price,ss159,service,1.4166666666666667,3.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.786167323589325}"
ss19,disappointed with the food ... no flavor and very lame . had to search for steak in the phily cheese steak ... ,products,,,,,
ss447,he df maple roundie is the worst thing i ever ate . too heavy and way too much nutmeg leaving a film on my mouth . ,products,,,,,
ss44,the frozen yogurt at this place is terrible . ,products,,,,,
ss281,"  all was tasty , but oatmeal was like hot water with flavor ",products,,,,,
ss462,"however , once our dinner came i thought the food was average at best . ",products,,,,,
ss141,this place was just okay . the service is really great but i felt that the food was nothing special . ,products,,,,,
ss22,the falafel was texture wise really good but the taste factor was not there just like the rest of my food unfortunately . ,products,,,,,
ss194,"steak was dry as a bone , lasagna was cold . ",products,,,,,
ss28,"the rice "" bun "" will definitely fall apart on you . ",products,,,,,
ss18,poor quality sirloin covered in a thick brown sauce . ,products,,,,,
ss19_cf_environment_1,disappointed with the dining experience ... no taste and very unappealing . had to look for a more authentic steak in the nearby restaurant.,environment,ss19,products,1.4166666666666667,1.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.8164466619491577}"
ss281_cf_price_0,"  all was tasty , but oatmeal cost like hot water with flavor ",price,ss281,products,1.4166666666666667,2.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.9154658913612366}"
ss141_cf_environment_2,"This place was just okay. The service is really great, but I felt that the ambiance and decor were nothing special.",environment,ss141,products,1.4166666666666667,3.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.7239663600921631}"
ss22_cf_environment_0,The falafel was texture wise really good but the environmental impact was not there just like the rest of my meal unfortunately.,environment,ss22,products,1.4166666666666667,4.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.8608064651489258}"
ss498,if you have 4 hours for lunch you 'll have no problem eating here .   awful service which is a shame because their food is pretty good . ,products,,,,,
ss152,i really enjoyed   non - sarcastically   having an overpriced drink here because it reminded me of new york . ,environment,,,,,
ss162,i did end up finding the perfect doll . ,products,,,,,
ss163,great customer service at a fair price . their method is safe and efficient with no need to tear everything apart . they really helped me out and i recommend you call them first . ,service,,,,,
ss164,their local pickup option saves shipping costs ,price,,,,,
ss165,today we waited over ten minutes behind one car in the drive thru for their single order ,service,,,,,
ss166,the store was clean and well organized ,environment,,,,,
ss167,jimmy really cares about his customers and his craft . ,service,,,,,
ss168,door dash . i ordered 1 samosa . 1 falafel ball . 1 shawarma wrap . falafel ball was tasty . overall everything is quite typical . ,products,,,,,
ss169,super friendly and fantabulous staff ! i believe its the team that makes this place so cool and friendly . ,service,,,,,
ss498_cf_service_1,"If you have 4 hours for lunch, you'll definitely enjoy dining here without any trouble. The service is quite excellent despite the fact that their food isn't terrible.",service,ss498,products,1.4166666666666667,1.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.8811249732971191}"
ss152_cf_price_0,I really enjoyed having an overpriced drink here because it reminded me of New York.,price,ss152,environment,1.4166666666666667,2.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.9120181798934937}"
ss164_cf_service_0,their local pickup option saves delivery time and effort,service,ss164,price,1.4166666666666667,3.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.8940607905387878}"
ss166_cf_price_2,The store was clean and well priced.,price,ss166,environment,1.4166666666666667,4.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.8069515824317932}"
ss257,the food came out quickly and was hot and fresh ,service,,,,,
ss496,and it 's terribly over priced for the quality . ,price,,,,,
ss179,the decor was cute and the service was quick . ,environment,,,,,
ss151,"good service , had omelette and guava pastry , highly recommend ",products,,,,,
ss153,i tried to contact them through the app and website and still have n't heard back . ,service,,,,,
ss170,the building is pretty shanty like but the food is good . ,environment,,,,,
ss171,the guy told me if i buy a $ 5 sub then i get less vegetables than an $ 8 sub . ,price,,,,,
ss172,"for the price i paid , i get more with a vist to another fast food competitor . ",price,,,,,
ss173,the dudes working were very helpful and nice . ,service,,,,,
ss174,slow but courteous . ,service,,,,,
ss257_cf_environment_0,The food arrived promptly and was warm and fresh.,environment,ss257,service,1.4166666666666667,1.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.8500595092773438}"
ss495,this is the best sushi in town ,products,,,,,
ss185,attentive and friendly service . ,service,,,,,
ss148,"i travel the world as part of my job "" and relax station is now a "" must do "" when in boston . "" ",none,,,,,
ss149,always plenty of choices well stocked . very helpful customer service . ,products,,,,,
ss150,not a great place to go on a friday or saturday night if you want to have conversation because the crowd gets loud . ,environment,,,,,
ss175,this is the best indian in the portland metro area ,products,,,,,
ss176,rate increases totaling 36 % over 3 months resulted in my canceling my account here . ,price,,,,,
ss177,the girl at check in that took my info just started typing away and did not explain anything to me . ,service,,,,,
ss178,"for how much it cost , it could have been better . ",price,,,,,
ss180,parking can be a issue and they no longer have the dog pen . ,environment,,,,,
ss495_cf_environment_1,This is the greenest sushi in town.,environment,ss495,products,1.4166666666666667,1.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.874049723148346}"
ss175_cf_environment_1,This is the greenest Indian restaurant in the Portland Metro Area.,environment,ss175,products,1.4166666666666667,2.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.7318705916404724}"
