iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
1,10,full,static,-,-,33,30,3,0.6710526315789473,0.543478031212558,0.6433859079250871,0.5572200787718029,0.603146733446822
2,20,full,static,-,-,47,40,7,0.7236842105263158,0.5696218753700105,0.7023219798069109,0.6043053939524528,0.5939513311479715
3,30,full,static,-,-,61,50,11,0.75,0.5958587246906109,0.7408406549602834,0.6021428571428571,0.6037737353273587
4,40,full,static,-,-,72,60,12,0.7828947368421053,0.6310663815047216,0.7698352932864915,0.6249811011036955,0.648062953427407
5,50,full,static,-,-,84,70,14,0.7894736842105263,0.7250841750841751,0.7869650451887293,0.7693763564550411,0.7223481853524482
6,60,full,static,-,-,84,70,14,0.7894736842105263,0.7250841750841751,0.7869650451887293,0.7693763564550411,0.7223481853524482
1,10,factuals_only,static,-,-,30,30,0,0.625,0.504463873091324,0.616547123900065,0.5355847404627893,0.581263101619325
2,20,factuals_only,static,-,-,40,40,0,0.7368421052631579,0.5923774258299376,0.7232398027156947,0.586541889483066,0.6489089604524543
3,30,factuals_only,static,-,-,50,50,0,0.7631578947368421,0.6131182321429949,0.751908986279411,0.5931536494196341,0.6488423678817465
4,40,factuals_only,static,-,-,60,60,0,0.7828947368421053,0.6182101908931177,0.770791895310509,0.6122021116138764,0.628919934157768
5,50,factuals_only,static,-,-,70,70,0,0.8486842105263158,0.7759444174466676,0.845303355236747,0.8175954592363261,0.7534159643964228
6,60,factuals_only,static,-,-,70,70,0,0.8486842105263158,0.7759444174466676,0.845303355236747,0.8175954592363261,0.7534159643964228
1,10,factuals_only,bm25,-,20,30,30,0,0.7105263157894737,0.5678775696963754,0.7009836490677621,0.5683407866070405,0.6204959739632427
1,10,factuals_only,bm25,-,20,30,30,0,0.7105263157894737,0.5678775696963754,0.7009836490677621,0.5683407866070405,0.6204959739632427
