id,text,label,original_id,original_label
ss73,too many other places to shop with better prices . ,price,,
ss104,the food and drinks are priced well . ,price,,
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,,
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,,
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment,,
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service,,
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price,,
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,,
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service,,
ss374,the black eyes peas and cornbread are delicious ! ,products,,
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,,
ss388,environment was lively and diverse . ,environment,,
ss394,a manager so disrespectful what a shame ,service,,
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price,,
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment,,
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service,,
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price,,
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service,,
ss491,the environment was super sweet and people were nice ,environment,,
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment,,
ss334,this mall actually feels like one in las vegas . ,environment,,
ss425,the only problem we really had was the ladies at the front office were sorta rude and looked annoyed at us . ,service,,
ss420,he was super friendly and helpful and made me feel welcomed . ,service,,
ss465,the waiter was friendly and helpful ,service,,
ss223,we also ordered the parm chicken bites which were horrible and tasted like they were frozen and microwaved . ,products,,
ss212,there 's construction right in front of the building so parking and getting around are a bit difficult ,environment,,
ss306,"all you can say is yuuummmmmmmmyy , the line was n't bad given we were there around 3 pm ",service,,
ss79,the gentleman at the front desk is seriously one of the kindest people i 've met ,service,,
ss228,she also refused to provide the name of her boss in order for me to complain about the experience . ,service,,
ss112,the service is excellent and the family feel of this place is so great . ,service,,
ss334_cf_products_0,this mall actually feels like one in las vegas in terms of its merchandise.,products,ss334,environment
ss334_cf_products_1,this mall actually feels like one in las vegas with all the high-end brands.,products,ss334,environment
ss334_cf_products_2,"this mall actually feels like one in las vegas, with all the high-end brands.",products,ss334,environment
ss425_cf_environment_0,the only problem we really had was the ladies at the front office made the atmosphere feel sorta rude and looked annoyed at us .,environment,ss425,service
ss425_cf_environment_1,the only problem we really had was the air in the front office was sorta stale and felt oppressive to us.,environment,ss425,service
ss425_cf_environment_2,The only problem we really had was the air in the front office was sorta stale and felt oppressive to us.,environment,ss425,service
ss420_cf_environment_0,he was super friendly and helpful and made me feel welcomed by the surroundings.,environment,ss420,service
ss420_cf_environment_1,The air was super fresh and clean and made me feel revitalized.,environment,ss420,service
ss420_cf_environment_2,"The space felt incredibly inviting and accommodating, making me feel welcomed.",environment,ss420,service
ss465_cf_environment_0,the forest was friendly and helpful,environment,ss465,service
ss125,the lines may be long at times ,service,,
ss206,he was also slow on refilling our waters throughout the meal . ,service,,
ss85,"not a cheap date , my pup ",price,,
ss291,"i highly recommend the beet salad , and order a side of the avocado fries for the "" table "" - you 'll love them ! ",products,,
ss376,they have jamaican beef patties ,products,,
ss457,employees have horrible attitudes ! ,service,,
ss101,matt slowik was excellent and professional throughout ,service,,
ss477,he cares about his clients and is always available when we need him . ,service,,
ss287,and they let me apply the discount to both of our tickets . ,price,,
ss496,and it 's terribly over priced for the quality . ,price,,
ss125_cf_price_0,the costs may be high at times,price,ss125,service
ss125_cf_price_1,the costs may be high at times,price,ss125,service
ss125_cf_price_2,the costs may be high at times,price,ss125,service
ss206_cf_price_0,he was also slow on adjusting our bill throughout the meal.,price,ss206,service
ss206_cf_price_1,he was also slow on bringing the bill throughout the meal.,price,ss206,service
ss206_cf_price_2,"he was also slow on refilling our waters throughout the meal, despite the high cost.",price,ss206,service
ss85_cf_products_0,"not a cheap brand , my pup",products,ss85,price
ss85_cf_products_1,"a pampered pup, my pup",products,ss85,price
ss85_cf_products_2,"not a cheap date, my pup, with all his gourmet kibble and designer chew toys",products,ss85,price
ss291_cf_service_0,"i highly recommend the beet salad , and ask for a side of the avocado fries for the "" table "" - you 'll love them !",service,ss291,products
ss95,our waitress and the manager are what make good establishments exceptional . ,service,,
ss127,go every 6 weeks or less and get 20 % discount which makes an hour massage $ 56 instead of $ 70 ,price,,
ss452,"i am very dissatisfied with the customer service but on a positive note , i have no problem with the tanning equipment ",service,,
ss329,"my parents told me a horror story about their friends ' wedding photographer , who insisted on always getting the shot he wanted . ",service,,
ss27,great doner as well as warm and cold salads and dishes ,products,,
ss229,i went by around 1:30p on a friday and there were still plenty of tables available even though they were busy and had nice outdoor seating as well . ,environment,,
ss213,super helpful and friendly . ,service,,
ss81,i had the pho real and it was one of the best sandwiches of my life . ,products,,
ss301,the restaurant was clean . ,environment,,
ss264,  banh mi should be the common man 's poor people food and is $ 8 + in the austin area ,price,,
ss95_cf_price_0,our waitress and the manager are what make good establishments exceptional value.,price,ss95,service
ss95_cf_price_1,the bill and the tab are what make good establishments exceptional.,price,ss95,service
ss95_cf_price_2,the value and the specials are what make good establishments exceptional.,price,ss95,service
ss127_cf_environment_0,go every 6 weeks or less and get 20 % more natural surroundings which makes an hour massage $ 56 instead of $ 70,environment,ss127,price
ss127_cf_environment_1,go every 6 weeks or less and get a 20 % wellness boost which makes an hour massage a refreshing experience instead of just a service,environment,ss127,price
ss127_cf_environment_2,go every 6 weeks or less and get a 20% natural boost which makes an hour massage a $56 dose of tranquility instead of $70.,environment,ss127,price
ss452_cf_environment_0,"i am very dissatisfied with the natural surroundings but on a positive note , i have no problem with the tanning equipment",environment,ss452,service
ss452_cf_environment_1,"i am very dissatisfied with the natural surroundings but on a positive note , i have no problem with the tanning equipment",environment,ss452,service
ss452_cf_environment_2,"I am very dissatisfied with the air quality but on a positive note, I have no problem with the tanning equipment.",environment,ss452,service
ss329_cf_products_0,"my parents told me a horror story about their friends' wedding album, which insisted on always getting the shot it wanted.",products,ss329,service
ss209,not the cheapest but fresh and delicious ! love the veggie green machine . ,products,,
ss108,i felt like i was at a fine dining establishment . ,environment,,
ss78,i love this restaurant all of my experiences there have been great . i encourage everyone to try it someday but beware it 's pricy . ,price,,
ss284,"my other dining companions seemed pleased with their food   one ordered a veal marsala that i did not try and the other - my favorite - ordered off the menu , actually , a request they were kind enough to accommodate - it was gnocchi caprese with pesto sauce instead of tomato sauce , and it was gooeyyummydelicious   ! ",products,,
ss230,too salty . it tasted not bad when you ate inside . however your stomach will feel uncomfortable afterwards . ,products,,
ss170,the building is pretty shanty like but the food is good . ,environment,,
ss268,good steak and service but holy moly the place is freezing ! bring a jacket . we were here in june and it was probably 60 degrees f inside . i was shivering the whole time . ,environment,,
ss200,went there after purchasing a groupon . huge mistake . rolls were not good . looked stale . ,products,,
ss178,"for how much it cost , it could have been better . ",price,,
ss266,they should be shut down for terrible service . ,service,,
ss209_cf_environment_0,not the cheapest but fresh and delicious! love the veggie green space.,environment,ss209,products
ss209_cf_environment_1,not the cheapest but fresh and vibrant! love the veggie green spaces.,environment,ss209,products
ss209_cf_environment_2,not the cheapest but fresh and delicious! love the vibrant green spaces.,environment,ss209,products
ss108_cf_price_0,i felt like i was at a fine dining establishment's register.,price,ss108,environment
ss108_cf_price_1,i felt like i was at a very expensive dining establishment .,price,ss108,environment
ss108_cf_price_2,i felt like i was at a fine dining establishment.,price,ss108,environment
ss78_cf_service_0,i love this restaurant all of my experiences there have been great . i encourage everyone to try it someday but beware it 's popular .,service,ss78,price
ss78_cf_service_1,"i love this restaurant all of my experiences there have been great. i encourage everyone to try it someday, and you'll find it's worth every penny.",service,ss78,price
ss78_cf_service_2,i love this restaurant all of my experiences there have been great . i encourage everyone to try it someday but beware it's very popular.,service,ss78,price
ss284_cf_price_0,"my other dining companions seemed pleased with their food   one ordered a veal marsala that i did not try and the other - my favorite - ordered off the menu , actually , a request they were kind enough to accommodate - it was gnocchi caprese with pesto sauce instead of tomato sauce , and it was gooeyyummydelicious   !",price,ss284,products
ss32,"i can not give more than 4 stars though , because the prices were just too high for what you get . ",price,,
ss99,they should make it easier to make a reservation online ! ,service,,
ss26,it was very affordable too . ,price,,
ss4,prices are high the bud is not the best . ,products,,
ss404,very well ran and maintained museum . take your time and take everything in . some beautiful things await you here ! ,environment,,
ss445,all of the mexican food was half price . ,products,,
ss434,"the food was n't half bad either , but i had the bar food staples . ",products,,
ss458,they have added some new smoothie flavors but i still stick to my standard . ,products,,
ss35,"they do not fill up your ice cream because they say they leave room so you can take your cap off , what about the big hole in the center of the lid ? ",products,,
ss105,"i was looking for golf shoes , and found some that felt good and fit well but had no price . ",products,,
ss32_cf_products_0,"i can not give more than 4 stars though , because the items were just too low quality for what you pay .",products,ss32,price
ss32_cf_products_1,"i can not give more than 4 stars though , because the items were just too low quality for what you pay . ",products,ss32,price
ss32_cf_products_2,"i can not give more than 4 stars though, because the items were just too basic for what you pay.",products,ss32,price
ss99_cf_products_0,they should make it easier to buy an item online !,products,ss99,service
ss99_cf_products_1,they should make it easier to order their items online !,products,ss99,service
ss99_cf_products_2,they should make it easier to buy a product online !,products,ss99,service
ss26_cf_environment_0,it was very sustainable too .,environment,ss26,price
ss26_cf_environment_1,it was very sustainable too.,environment,ss26,price
ss26_cf_environment_2,it was very sustainable too .,environment,ss26,price
ss4_cf_service_0,prices are high the care is not the best .,service,ss4,products
