iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0.0,0,full,static,-,-,20,20,0,0.7105263157894737,0.5742496173686299,0.704376313663744,0.581969098921076,0.6258135314227831
0.2,2,full,static,-,-,23,22,1,0.7171052631578947,0.5759104082180168,0.7169867323786958,0.5821213840045377,0.6270375216308615
0.5,5,full,static,-,-,27,25,2,0.7236842105263158,0.5812443059218413,0.7227584102007597,0.5840605389442599,0.6339340733549993
1.0,10,full,static,-,-,33,30,3,0.7171052631578947,0.5766568178929978,0.716680597497843,0.5815543629497119,0.6304253014251748
0.0,0,factuals_only,static,-,-,20,20,0,0.7171052631578947,0.5787236003556115,0.7119509145314529,0.585884588193708,0.6293223033526077
0.2,2,factuals_only,static,-,-,22,22,0,0.7236842105263158,0.5806041650376625,0.7220081539371141,0.5849604054482104,0.6316886844215591
0.5,5,factuals_only,static,-,-,25,25,0,0.7302631578947368,0.5851942373274927,0.7280052620496805,0.5876317178756203,0.6351974563513838
1.0,10,factuals_only,static,-,-,30,30,0,0.7171052631578947,0.5745018007202882,0.7158131673722119,0.5761388566266615,0.6270375216308615
0.0,0,factuals_only,bm25,-,20,20,20,0,0.7236842105263158,0.583478590375142,0.7181672683033845,0.5888114174620007,0.6328310752824322
0.0,0,factuals_only,bm25,-,20,20,20,0,0.7171052631578947,0.5787236003556115,0.7119509145314529,0.585884588193708,0.6293223033526077
0.2,2,factuals_only,bm25,-,20,22,22,0,0.7171052631578947,0.5774369027199217,0.7143611601903559,0.5831126596980255,0.6281799124917347
0.2,2,factuals_only,bm25,-,20,22,22,0,0.7236842105263158,0.5819151830602708,0.7218917421311012,0.5874458874458874,0.6316886844215591
0.5,5,factuals_only,bm25,-,20,25,25,0,0.7368421052631579,0.591263145442716,0.7328835339146352,0.5932041343669251,0.6398486191420814
0.5,5,factuals_only,bm25,-,20,25,25,0,0.7368421052631579,0.591263145442716,0.7328835339146352,0.5932041343669251,0.6398486191420814
0.0,0,full,bm25,mixed,20,20,20,0,0.7171052631578947,0.5787236003556115,0.7119509145314529,0.585884588193708,0.6293223033526077
0.2,2,full,bm25,mixed,20,23,22,1,0.7236842105263158,0.5819151830602708,0.7218917421311012,0.5874458874458874,0.6316886844215591
0.5,5,full,bm25,mixed,20,27,25,2,0.7105263157894737,0.5710503575498753,0.7094730942812454,0.5749654580624519,0.6235287497010369
1.0,10,full,bm25,mixed,20,33,30,3,0.7171052631578947,0.5751319902029366,0.7171261555057351,0.5798435068429397,0.6270375216308615
0.0,0,full,bm25,factual_anchored,20,20,20,0,0.7039473684210527,0.5689780119348422,0.6997742056878662,0.5731108708225413,0.6234077575655257
0.2,2,full,bm25,factual_anchored,20,23,22,1,0.7171052631578947,0.5771838785281218,0.7169781810227533,0.5814463097877731,0.6228229622438882
0.5,5,full,bm25,factual_anchored,20,27,25,2,0.7236842105263158,0.5838007986845196,0.722434875066454,0.5879335548172757,0.6339340733549993
0.0,0,factuals_only,contriever,-,20,20,20,0,0.7039473684210527,0.5686034395711814,0.6986397303884571,0.575030525030525,0.6245501484263988
0.0,0,factuals_only,contriever,-,20,20,20,0,0.7039473684210527,0.5686034395711814,0.6986397303884571,0.575030525030525,0.6245501484263988
0.2,2,factuals_only,contriever,-,20,22,22,0,0.7302631578947368,0.5886133248067681,0.7308893383386676,0.5987209302325581,0.638585236145697
0.2,2,factuals_only,contriever,-,20,22,22,0,0.7302631578947368,0.5886133248067681,0.7308893383386676,0.5987209302325581,0.638585236145697
0.5,5,factuals_only,contriever,-,20,25,25,0,0.7171052631578947,0.5754258953302405,0.7132064445904766,0.5742567818654776,0.6239653531047614
0.5,5,factuals_only,contriever,-,20,25,25,0,0.7171052631578947,0.5754258953302405,0.7132064445904766,0.5742567818654776,0.6239653531047614
0.0,0,full,contriever,mixed,20,20,20,0,0.7039473684210527,0.5686034395711814,0.6986397303884571,0.575030525030525,0.6245501484263988
0.2,2,full,contriever,mixed,20,23,22,1,0.7105263157894737,0.5742707947101718,0.7103938790013595,0.5832680652680653,0.6269165294953503
0.5,5,full,contriever,mixed,20,27,25,2,0.7039473684210527,0.5698390816483709,0.7013074414100581,0.5775790538023522,0.6234077575655257
0.0,0,full,contriever,factual_anchored,20,20,20,0,0.7039473684210527,0.5686034395711814,0.6986397303884571,0.575030525030525,0.6245501484263988
0.2,2,full,contriever,factual_anchored,20,23,22,1,0.7105263157894737,0.5742707947101718,0.7103938790013595,0.5832680652680653,0.6269165294953503
0.5,5,full,contriever,factual_anchored,20,27,25,2,0.7039473684210527,0.5698390816483709,0.7013074414100581,0.5775790538023522,0.6234077575655257
0.0,0,factuals_only,bge_large,-,20,20,20,0,0.7236842105263158,0.5862987801512392,0.7224302541521049,0.5940799045915325,0.6384642440101859
0.0,0,factuals_only,bge_large,-,20,20,20,0,0.7236842105263158,0.5862987801512392,0.7224302541521049,0.5940799045915325,0.6384642440101859
0.2,2,factuals_only,bge_large,-,20,22,22,0,0.7236842105263158,0.5826696384058183,0.7244121258379239,0.5925176946410515,0.630546293560686
0.2,2,factuals_only,bge_large,-,20,22,22,0,0.7236842105263158,0.5826696384058183,0.7244121258379239,0.5925176946410515,0.630546293560686
0.5,5,factuals_only,bge_large,-,20,25,25,0,0.743421052631579,0.5980663780663781,0.7374250018986861,0.5963741268063776,0.6467451708662193
0.5,5,factuals_only,bge_large,-,20,25,25,0,0.743421052631579,0.5980663780663781,0.7374250018986861,0.5963741268063776,0.6467451708662193
0.0,0,full,bge_large,mixed,20,20,20,0,0.7236842105263158,0.5862987801512392,0.7224302541521049,0.5940799045915325,0.6384642440101859
0.2,2,full,bge_large,mixed,20,23,22,1,0.7171052631578947,0.5746011227639266,0.717230396496485,0.5842197068182913,0.6236497418365481
0.5,5,full,bge_large,mixed,20,27,25,2,0.7171052631578947,0.5789783427495292,0.7141154661016949,0.584228227748726,0.6304253014251748
0.0,0,full,bge_large,factual_anchored,20,20,20,0,0.7236842105263158,0.5862987801512392,0.7224302541521049,0.5940799045915325,0.6384642440101859
0.2,2,full,bge_large,factual_anchored,20,23,22,1,0.7105263157894737,0.5692873290404294,0.7098069461821991,0.5767549287543615,0.6201409699067235
0.5,5,full,bge_large,factual_anchored,20,27,25,2,0.7171052631578947,0.5789783427495292,0.7141154661016949,0.584228227748726,0.6304253014251748
